experiment,method,step,eval_type,eval_accuracy,eval_loss,total_rank
rankext_step_2,rank_extension,2,current_step,0.4925,1.9899110794067383,8.0
rankext_step_2,rank_extension,2,first_step,0.0185,6.060269355773926,8.0
rankext_step_2,rank_extension,2,later_steps_seen_so_far,0.4925,1.9899110794067383,8.0
rankext_step_2,rank_extension,2,all_seen,0.2555,4.0250959396362305,8.0
rankext_step_3,rank_extension,3,current_step,0.5135,1.8740273714065552,16.0
rankext_step_3,rank_extension,3,first_step,0.0015,6.354901313781738,16.0
rankext_step_3,rank_extension,3,later_steps_seen_so_far,0.25825,3.71566104888916,16.0
rankext_step_3,rank_extension,3,all_seen,0.17266666666666666,4.595406532287598,16.0
rankext_step_4,rank_extension,4,current_step,0.4925,1.9370049238204956,24.0
rankext_step_4,rank_extension,4,first_step,0.003,6.547247886657715,24.0
rankext_step_4,rank_extension,4,later_steps_seen_so_far,0.166,4.634987831115723,24.0
rankext_step_4,rank_extension,4,all_seen,0.12525,5.113051891326904,24.0
rankext_step_5,rank_extension,5,current_step,0.543,1.8491061925888062,32.0
rankext_step_5,rank_extension,5,first_step,0.002,6.942020416259766,32.0
rankext_step_5,rank_extension,5,later_steps_seen_so_far,0.138,5.218801498413086,32.0
rankext_step_5,rank_extension,5,all_seen,0.1108,5.563443183898926,32.0
ft_step_2,full_finetune,2,current_step,0.5665,1.4198862314224243,
ft_step_2,full_finetune,2,first_step,0.0015,9.13732624053955,
ft_step_2,full_finetune,2,later_steps_seen_so_far,0.5665,1.4198862314224243,
ft_step_2,full_finetune,2,all_seen,0.284,5.2786102294921875,
ft_step_3,full_finetune,3,current_step,0.5975,1.240472674369812,
ft_step_3,full_finetune,3,first_step,0.0005,10.20921516418457,
ft_step_3,full_finetune,3,later_steps_seen_so_far,0.29875,4.153421878814697,
ft_step_3,full_finetune,3,all_seen,0.19933333333333333,6.172023296356201,
ft_step_4,full_finetune,4,current_step,0.598,1.2937859296798706,
ft_step_4,full_finetune,4,first_step,0.0,10.806769371032715,
ft_step_4,full_finetune,4,later_steps_seen_so_far,0.19966666666666666,5.454992294311523,
ft_step_4,full_finetune,4,all_seen,0.14975,6.79293966293335,
ft_step_5,full_finetune,5,current_step,0.6475,1.1440898180007935,
ft_step_5,full_finetune,5,first_step,0.0,10.106308937072754,
ft_step_5,full_finetune,5,later_steps_seen_so_far,0.163,6.276469707489014,
ft_step_5,full_finetune,5,all_seen,0.1304,7.042436599731445,
rankext_final_eval,rank_extension,5,first_step,0.002,6.942020416259766,
rankext_final_eval,rank_extension,5,later_steps,0.138,5.218801498413086,
rankext_final_eval,rank_extension,5,all_seen,0.1108,5.563443183898926,
ft_final_eval,full_finetune,5,first_step,0.0,10.106308937072754,
ft_final_eval,full_finetune,5,later_steps,0.163,6.276469707489014,
ft_final_eval,full_finetune,5,all_seen,0.1304,7.042436599731445,
joint_final_eval,joint_upper_bound,5,first_step,0.234,3.139493703842163,
joint_final_eval,joint_upper_bound,5,later_steps,0.2695,2.9736554622650146,
joint_final_eval,joint_upper_bound,5,all_seen,0.2624,3.006824016571045,
