method,display_method_name,first_step_accuracy,later_steps_accuracy,all_seen_accuracy,average_accuracy,final_accuracy,per_step_accuracy,forgetting_metric,backward_transfer,forward_transfer
simple_avg,SimpleAvg,82.0,69.6125,72.09,74.56750000000001,72.09,"[82.0, 68.0, 68.65, 61.9, 79.9]",,-0.24462500000000004,
rank_extension,RankExt,11.95,47.7625,40.6,33.4375,40.6,"[11.95, 35.75, 19.15, 39.05, 97.1]",0.6793750000000001,-0.6795,-0.05
simple_avg_factor_orth,SimpleAvg + FactorOrth,71.2,76.625,75.53999999999999,74.455,75.53999999999999,"[71.2, 78.85, 72.35, 70.2, 85.1]",,-0.218625,
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,0.1,43.6125,34.910000000000004,26.2075,34.910000000000004,"[0.1, 11.3, 19.15, 46.8, 97.2]",0.752375,-0.7525,-0.05
simple_avg_kd_T2,SimpleAvg + KD T2,88.9,67.16250000000001,71.50999999999999,75.8575,71.50999999999999,"[88.9, 68.5, 67.4, 60.35, 72.4]",,-0.20062499999999997,
rank_extension_kd_only_T2,RankExt + KD T2,76.2,60.3375,63.51,66.68249999999999,63.51,"[76.2, 38.55, 44.75, 65.0, 93.05]",0.24387499999999998,-0.24387499999999998,-0.05
simple_avg_factor_orth_kd_T2,SimpleAvg + FactorOrth + KD T2,85.1,58.3625,63.71,69.05749999999999,63.71,"[85.1, 58.7, 53.4, 49.1, 72.25]",,-0.28287500000000004,
rank_extension_orth_factor_lam_50_kd_T2,RankExt + FactorOrth + KD T2,78.14999999999999,59.075,62.89,66.705,62.89,"[78.15, 33.25, 42.6, 67.45, 93.0]",0.25412500000000005,-0.254,-0.05
