method,rank_all_seen,first_step,later_steps,all_seen,old_new_gap
simple_avg_factor_orth,1,71.2,76.625,75.53999999999999,-5.424999999999997
simple_avg,2,82.0,69.6125,72.09,12.387500000000003
simple_avg_kd_T2,3,88.9,67.16250000000001,71.50999999999999,21.737499999999997
simple_avg_factor_orth_kd_T2,4,85.1,58.3625,63.71,26.737499999999997
rank_extension_kd_only_T2,5,76.2,60.3375,63.51,15.862500000000004
rank_extension_orth_factor_lam_50_kd_T2,6,78.14999999999999,59.075,62.89,19.07499999999999
rank_extension,7,11.95,47.7625,40.6,-35.8125
rank_extension_orth_factor_lam_50,8,0.1,43.6125,34.910000000000004,-43.512499999999996
