method_name,display_name,step_id,epoch,train_ce_loss,val_ce_loss
rank_extension,RankExt,1,1,1.1347816788306408,0.2435518271625042
rank_extension,RankExt,1,2,0.1635576612025988,0.165718651086092
rank_extension,RankExt,1,3,0.09186492790849726,0.20263120055943729
rank_extension,RankExt,1,4,0.05297166434341859,0.20294617748167365
rank_extension,RankExt,1,5,0.02777923410504314,0.24646840047836305
rank_extension,RankExt,1,6,0.014750781857702485,0.19677954912139103
rank_extension,RankExt,1,7,0.007365441835031188,0.21519474149122833
rank_extension,RankExt,1,8,0.008274174412413305,0.20979252004623414
rank_extension,RankExt,1,9,0.010509758456298732,0.2073358721770346
rank_extension,RankExt,2,1,1.9804803540780775,0.2658740345239639
rank_extension,RankExt,2,2,0.1456518292793485,0.21516843628883361
rank_extension,RankExt,2,3,0.0723036949202174,0.26797464245557784
rank_extension,RankExt,2,4,0.03455244832840122,0.20559504389762878
rank_extension,RankExt,2,5,0.020130002736801007,0.25924682384729386
rank_extension,RankExt,2,6,0.012537340820344831,0.24895853232592344
rank_extension,RankExt,2,7,0.009561316998510623,0.2657854800261557
rank_extension,RankExt,2,8,0.007245829500400714,0.2566201300546527
rank_extension,RankExt,2,9,0.012287472249816347,0.25671027636900545
rank_extension,RankExt,3,1,2.5950806271376274,0.24223508977890015
rank_extension,RankExt,3,2,0.20215190478646364,0.16846290707588196
rank_extension,RankExt,3,3,0.1264980814923517,0.2303801109790802
rank_extension,RankExt,3,4,0.08529618447799174,0.20564888501167297
rank_extension,RankExt,3,5,0.05492941318232505,0.24880656385421754
rank_extension,RankExt,3,6,0.03462923401966691,0.2655127902030945
rank_extension,RankExt,3,7,0.019146003101792066,0.25158618450164794
rank_extension,RankExt,3,8,0.014748133252793255,0.24712999844551087
rank_extension,RankExt,3,9,0.016161066045364714,0.25141032552719117
rank_extension,RankExt,4,1,2.8705401873334546,0.2966953783025965
rank_extension,RankExt,4,2,0.22363881980847627,0.23202580784261226
rank_extension,RankExt,4,3,0.13801142353503432,0.2643608462810516
rank_extension,RankExt,4,4,0.07796603400504372,0.2640441000461287
rank_extension,RankExt,4,5,0.042918588681887276,0.2539796929359509
rank_extension,RankExt,4,6,0.026030252693129516,0.28855381798744567
rank_extension,RankExt,4,7,0.013428789980990273,0.2714700648784565
rank_extension,RankExt,4,8,0.010072826905158509,0.2627626323700097
rank_extension,RankExt,4,9,0.015183277813396125,0.26309983110428586
rank_extension,RankExt,5,1,2.386602630070525,0.12567497324198484
rank_extension,RankExt,5,2,0.11588722675760586,0.11939260268223006
