method,merged_norm_abs,dW1_norm_abs,merged_norm_over_dW1_norm_pct,first_step_accuracy
simple_avg_kd_T2,0.3268502286324898,0.4984489530324936,65.57346076142377,88.9
simple_avg,0.26551196041206515,0.5840746816247702,45.4585635647599,82.0
simple_avg_factor_orth_kd_T2,0.19308777619153258,0.4984489530324936,38.73772329479551,77.75
simple_avg_factor_orth,0.16916732521106795,0.4984489530324936,33.93874622102778,71.2
