method,first_step_accuracy,later_steps_accuracy,all_seen_accuracy,mean_cos_t2plus_pre_merge,mean_dWnorm_over_dW1norm_t2plus,mean_cos_dW1_merged,mean_merged_norm_over_mean_individual
simple_avg_kd_T2,88.9,67.16250000000001,71.50999999999999,0.021638267406766876,1.3077549784614722,0.3382450236628453,0.5299854243910768
simple_avg,82.0,69.6125,72.09,0.011977194264810906,0.9087783558272874,0.4594278869529565,0.4906287882686989
simple_avg_factor_orth_kd_T2,77.75,68.2875,70.17999999999999,0.0044441779711880776,0.8337377983572757,0.5403195700297753,0.4606232256436987
simple_avg_factor_orth,71.2,76.625,75.53999999999999,0.0018250654427741661,0.695690176717768,0.5950044294198354,0.4603111730151647
