run,NEW,NEW,OLD,OLD
method,simple_avg,simple_avg_factor_orth,simple_avg,simple_avg_factor_orth
step_id,,,,
1,82.0,71.2,54.05,0.8
2,68.0,78.85,51.4,78.85
3,68.65,72.35000000000001,46.5,77.10000000000001
4,61.9,70.19999999999999,47.15,72.0
5,79.9,85.1,41.05,83.89999999999999
