method,first_step,later_steps,all_seen,old_new_gap
simple_avg,50.3,39.775,41.88,10.524999999999999
simple_avg_kd_T1,69.6,22.325,31.78,47.27499999999999
simple_avg_kd_T2,71.0,26.875,35.699999999999996,44.125
simple_avg_delta_orth,29.2,63.887499999999996,56.95,-34.6875
simple_avg_delta_orth_kd_T1,51.24999999999999,57.3375,56.120000000000005,-6.087500000000006
simple_avg_delta_orth_kd_T2,47.65,60.78750000000001,58.160000000000004,-13.13750000000001
simple_avg_factor_orth,1.35,72.875,58.57,-71.525
simple_avg_factor_orth_kd_T1,14.75,72.28750000000001,60.78,-57.53750000000001
simple_avg_factor_orth_kd_T2,10.4,73.88749999999999,61.19,-63.48749999999999
rank_extension,2.9499999999999997,25.4625,20.96,-22.5125
rank_extension_kd_only_T1,73.8,53.837500000000006,57.830000000000005,19.96249999999999
rank_extension_kd_only_T2,59.0,53.1625,54.33,5.837499999999999
rank_extension_orth_delta_trace_lam_50,1.6,25.074999999999996,20.380000000000003,-23.474999999999994
rank_extension_orth_delta_trace_lam_50_kd_T1,76.05,53.675,58.15,22.375
rank_extension_orth_delta_trace_lam_50_kd_T2,62.050000000000004,54.3875,55.92,7.662500000000001
rank_extension_orth_factor_lam_50,10.7,40.112500000000004,34.23,-29.412500000000005
rank_extension_orth_factor_lam_50_kd_T1,84.5,57.7625,63.11,26.737499999999997
rank_extension_orth_factor_lam_50_kd_T2,80.05,65.17500000000001,68.15,14.874999999999986
