method,train_ce_step1,train_ce_step2,train_ce_step3,train_ce_step4,train_ce_step5,val_ce_step1,val_ce_step2,val_ce_step3,val_ce_step4,val_ce_step5,train_step1,train_mean_2to5,train_gap_2to5_minus_1,val_step1,val_mean_2to5,val_gap_2to5_minus_1
simple_avg,0.0109118406832218,0.0109297219361877,0.0150152849157631,0.0157024640671385,0.006613776776001,0.2165680491924285,0.2309845867157128,0.2985184347629547,0.3376584277153306,0.1360978720189305,0.0109118406832218,0.012065311923772574,0.0011534712405507751,0.2165680491924285,0.25081483030323215,0.03424678111080365
simple_avg_kd_T2,0.011567209134002,0.5400983813762665,0.4129041838169098,0.3916727542877197,0.373322665977478,0.2270605981275439,0.6758093264102936,0.5854111347198486,0.6144182124137878,0.5099902338981629,0.011567209134002,0.4294994963645935,0.4179322872305915,0.2270605981275439,0.5964072268605233,0.3693466287329794
simple_avg_factor_orth,0.011567209134002,0.0130846659262664,0.0304031060516834,0.0170798623577691,0.0084692417156416,0.2270605981275439,0.1662897987365722,0.1378170204162597,0.1703141098023625,0.1102272920606192,0.011567209134002,0.017259219012840124,0.005692009878838123,0.2270605981275439,0.1461620552539534,-0.0808985428735905
simple_avg_factor_orth_kd_T2,0.011567209134002,0.3102159891605377,0.2662034739255905,0.2587094108104706,0.2434282098293304,0.2270605981275439,0.4649013061523437,0.4334669198989868,0.4545509033203125,0.3739739992618561,0.011567209134002,0.2696392709314823,0.2580720617974803,0.2270605981275439,0.43172328215837474,0.20466268403083085
rank_extension,0.0237526224518194,0.0182422629337757,0.0410068920234218,0.0403718904335051,0.0123669511015759,0.2266465032119304,0.2242128884792328,0.1756663551330566,0.2823898119945079,0.1150943524832837,0.0237526224518194,0.027996999123069626,0.004244376671250227,0.2266465032119304,0.19934085202252025,-0.02730565118941014
rank_extension_kd_only_T2,0.0237526224518194,0.6997721089363098,0.6005668961524964,0.5498008813381196,0.4695477071285248,0.2266465032119304,0.9272528080940248,0.7384003915786743,0.7545551755428315,0.6120986325740814,0.0237526224518194,0.5799218983888625,0.5561692759370431,0.2266465032119304,0.758076751947403,0.5314302487354726
rank_extension_orth_factor_lam_50,0.0237526224518194,0.0197199296560138,0.0571521471753716,0.066672264239192,0.0287199796892702,0.2266465032119304,0.1991560893133282,0.1527718324661255,0.2133537757415324,0.1040960078258067,0.0237526224518194,0.0430660801899619,0.0193134577381425,0.2266465032119304,0.16734442633669822,-0.059302076875232174
rank_extension_orth_factor_lam_50_kd_T2,0.0237526224518194,0.7190768462181091,0.6543820416450501,0.6291862382411957,0.5375805470943451,0.2266465032119304,0.9436643075942992,0.7684064922332764,0.7511127934455871,0.6462714834213257,0.0237526224518194,0.635056418299675,0.6113037958478555,0.2266465032119304,0.777363769173622,0.5507172659616917
