family,step,base_train_ce,kd_train_ce,kd_minus_base_gap
simple_avg family,2,0.0109297219361877,0.5400983813762665,0.5291686594400788
simple_avg family,3,0.0150152849157631,0.4129041838169098,0.3978888989011467
simple_avg family,4,0.0157024640671385,0.3916727542877197,0.3759702902205812
simple_avg family,5,0.006613776776001,0.373322665977478,0.366708889201477
rank_extension family,2,0.0182422629337757,0.6997721089363098,0.6815298460025341
rank_extension family,3,0.0410068920234218,0.6005668961524964,0.5595600041290746
rank_extension family,4,0.0403718904335051,0.5498008813381196,0.5094289909046145
rank_extension family,5,0.0123669511015759,0.4695477071285248,0.4571807560269489
