method,eval_set,accuracy,loss
full_finetune,first_step,0.0,8.991137504577637
full_finetune,later_steps,0.2655,5.658621311187744
full_finetune,all_seen,0.2124,6.325124263763428
simple_avg,first_step,0.67,2.4569947719573975
simple_avg,later_steps,0.5355,2.718824625015259
simple_avg,all_seen,0.5624,2.6664578914642334
rank_extension,first_step,0.0005,7.245407581329346
rank_extension,later_steps,0.25575,5.171318531036377
rank_extension,all_seen,0.2047,5.58613920211792
rank_extension_zero_old_merge,first_step,0.256,3.456333875656128
rank_extension_zero_old_merge,later_steps,0.16725,3.71240234375
rank_extension_zero_old_merge,all_seen,0.185,3.6611897945404053
rank_extension_orth_trace_lam_01,first_step,0.0025,6.621795177459717
rank_extension_orth_trace_lam_01,later_steps,0.241375,4.815795421600342
rank_extension_orth_trace_lam_01,all_seen,0.1936,5.176995277404785
rank_extension_zero_old_merge_orth_trace_lam_01,first_step,0.1925,3.825000047683716
rank_extension_zero_old_merge_orth_trace_lam_01,later_steps,0.114875,3.960710287094116
rank_extension_zero_old_merge_orth_trace_lam_01,all_seen,0.1304,3.9335684776306152
rank_extension_orth_norm_lam_100,first_step,0.021,6.695247173309326
rank_extension_orth_norm_lam_100,later_steps,0.276375,5.009493827819824
rank_extension_orth_norm_lam_100,all_seen,0.2253,5.346643924713135
rank_extension_zero_old_merge_orth_norm_lam_100,first_step,0.2095,3.5954091548919678
rank_extension_zero_old_merge_orth_norm_lam_100,later_steps,0.198625,3.5637588500976562
rank_extension_zero_old_merge_orth_norm_lam_100,all_seen,0.2008,3.570089101791382
