method,display_method_name,cl_step,local_epoch,global_epoch,train_ce_loss,val_ce_loss,train_total_loss,kd_loss_raw,kd_loss_weighted,factor_orth_loss_raw,factor_orth_loss_weighted,delta_trace_loss_raw,delta_trace_loss_weighted,learning_rate,lambda_orth,kd_temperature,lora_rank,lora_alpha,lora_dropout,target_modules,batch_size,num_epochs,optimizer,scheduler,method_name,display_name,family,base_method,step_id,epoch,uses_kd,kd_weight,uses_delta_trace,uses_factor_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules_x,train_kd_loss_raw,train_kd_loss_weighted,train_delta_trace_loss_raw,train_delta_trace_loss_weighted,train_factor_orth_loss_raw,train_factor_orth_loss_weighted,train_delta_trace_weighted_over_ce,train_factor_orth_weighted_over_ce,train_kd_weighted_over_ce,val_total_loss,target_modules_y
rank_extension,RankExt,2,5,14,0.020130002736801007,0.25924682384729386,0.020130002736801007,,,,,,,4.902076315486023e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,2,5,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,2,6,15,0.012537340820344831,0.24895853232592344,0.012537340820344831,,,,,,,3.018935110253619e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,2,6,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,2,7,16,0.009561316998510623,0.2657854800261557,0.009561316998510623,,,,,,,1.4300127155289572e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,2,7,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,2,8,17,0.007245829500400714,0.2566201300546527,0.007245829500400714,,,,,,,3.712887094594453e-06,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,2,8,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,2,9,18,0.012287472249816347,0.25671027636900545,0.012287472249816347,,,,,,,0.0,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,2,9,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,3,1,19,2.5950806271376274,0.24223508977890015,2.5950806271376274,,,,,,,9.996164380804483e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,1,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,3,2,20,0.20215190478646364,0.16846290707588196,0.20215190478646364,,,,,,,9.55111402123446e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,2,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,3,3,21,0.1264980814923517,0.2303801109790802,0.1264980814923517,,,,,,,8.430152761045664e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,3,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,3,4,22,0.08529618447799174,0.20564888501167297,0.08529618447799174,,,,,,,6.799760704097911e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,4,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,3,5,23,0.05492941318232505,0.24880656385421754,0.05492941318232505,,,,,,,4.902076315486023e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,5,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
