method,display_method_name,first_step_accuracy,later_steps_accuracy,all_seen_accuracy,average_accuracy,final_accuracy,per_step_accuracy,forgetting_metric,backward_transfer,forward_transfer
simple_avg,SimpleAvg,82.0,69.6125,72.09,74.56750000000001,72.09,"[82.0, 68.0, 68.65, 61.9, 79.9]",,-0.24462500000000004,
simple_avg_kd_T2,SimpleAvg + KD T2,88.9,67.16250000000001,71.50999999999999,75.8575,71.50999999999999,"[88.9, 68.5, 67.4, 60.35, 72.4]",,-0.20062499999999997,
simple_avg_factor_orth,SimpleAvg + FactorOrth,71.2,76.625,75.53999999999999,74.455,75.53999999999999,"[71.2, 78.85, 72.35, 70.2, 85.1]",,-0.218625,
simple_avg_factor_orth_kd_T2,SimpleAvg + FactorOrth + KD T2,85.1,58.3625,63.71,69.05749999999999,63.71,"[85.1, 58.7, 53.4, 49.1, 72.25]",,-0.28287500000000004,
rank_extension,RankExt,41.949999999999996,56.95,53.949999999999996,50.949999999999996,53.949999999999996,"[41.95, 43.9, 34.85, 52.1, 96.95]",0.6793750000000001,-0.51225,-0.05
rank_extension_kd_only_T2,RankExt + KD T2,94.69999999999999,38.975,50.12,61.26499999999999,50.12,"[94.7, 15.9, 34.9, 45.95, 59.15]",0.24387499999999998,-0.3265,-0.05
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,66.25,64.625,64.95,65.27499999999999,64.95,"[66.25, 46.9, 51.7, 64.0, 95.9]",0.752375,-0.37375,-0.05
rank_extension_orth_factor_lam_50_kd_T2,RankExt + FactorOrth + KD T2,95.55,8.9125,26.240000000000002,43.567499999999995,26.240000000000002,"[95.55, 5.5, 9.3, 7.4, 13.45]",0.25412500000000005,-0.51325,-0.05
