method,display_name,BASELINE_step1_training_end_val_ce,BASELINE_step1_training_best_val_ce,BASELINE_step1_FINAL_eval_loss_post_all_steps,BASELINE_step1_FINAL_eval_acc_post_all_steps,BASELINE_loss_inflation_factor,NEW_step1_training_end_val_ce_ep9,NEW_step1_training_selected_val_ce_best_epoch,NEW_step1_FINAL_eval_loss_post_all_steps,NEW_step1_FINAL_eval_acc_post_all_steps,NEW_loss_inflation_factor
rank_extension,RankExt,0.145743790872395,0.1379956350252032,6.9819016456604,3.75,47.90531112075545,0.2073358721770346,0.165718651086092,5.875284194946289,11.95,35.4533672368238
rank_extension_kd_only_T2,RankExt+KD,0.145743790872395,0.1379956350252032,0.9524200558662416,69.39999999999999,6.5348928428801925,0.2073358721770346,0.165718651086092,0.8021631836891174,76.2,4.840512389111761
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,0.145743790872395,0.1379956350252032,5.753640651702881,8.35,39.47777546654075,0.2073358721770346,0.165718651086092,11.39198112487793,0.1,68.74290280675599
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,0.145743790872395,0.1379956350252032,0.7046930193901062,80.30000000000001,4.835149512524314,0.2073358721770346,0.165718651086092,0.8184167742729187,78.14999999999999,4.938591817572456
