method,first_step,later_steps,all_seen,old_new_gap
full_finetune,0.0,26.55,21.240000000000002,-26.55
simple_avg,67.0,53.55,56.24,13.450000000000003
rank_extension,0.05,25.575,20.47,-25.525
rank_extension_zero_old_merge,25.6,16.725,18.5,8.875
rank_extension_orth_trace_lam_01,0.25,24.1375,19.36,-23.8875
rank_extension_zero_old_merge_orth_trace_lam_01,19.25,11.4875,13.04,7.762499999999999
rank_extension_orth_norm_lam_100,2.1,27.6375,22.53,-25.537499999999998
rank_extension_zero_old_merge_orth_norm_lam_100,20.95,19.8625,20.080000000000002,1.0874999999999986
