method,lambda_orth,ce_loss_mean,orth_loss,factor_A_penalty_mean,factor_B_penalty_mean,factor_total_penalty_mean,weighted_factor_orth_mean,weighted_factor_orth_over_CE,mean_A_overlap,mean_B_overlap,kd_loss,weighted_kd_loss,total_loss,kd_weight,kd_temperature
rank_extension_orth_factor_lam_50,50.0,1.1421474166568255,0.15468993824424457,0.14826562410674415,0.00642431474293098,0.15468993824424457,7.734496882817391,0.9506305858880911,0.002880664715077042,0.0009330708479692958,0.0,0.0,8.876644298842274,0.0,2.0
rank_extension_orth_factor_lam_50_kd_oldactive_false,50.0,1.1926528306090334,0.020472002219138856,0.012479269688130361,0.007992732584826015,0.020472002219138856,1.0236001114115907,0.19063345471825915,0.0019766337970456545,0.0009852725694893484,0.6880380479221989,0.6880380479221989,2.904290991312582,0.8,2.0
rank_extension_orth_factor_lam_50_kd_oldactive_true,50.0,1.396543944492887,0.018914102956716878,0.012854131931222604,0.006059971163091311,0.018914102956716878,0.9457051466263799,0.13708398663555182,0.0020226563339779016,0.0009135210773211395,0.6625651739002435,0.6625651739002435,3.004814268559652,0.8,2.0
rank_extension_orth_factor_lam_50_oldactive_false,50.0,1.0942605369602172,0.15705688200584664,0.1499144291252292,0.007142451929723528,0.15705688200584664,7.852844089564288,1.0127212896912743,0.002883724463130002,0.0009482547092196008,0.0,0.0,8.947104624801959,0.0,2.0
rank_extension_orth_factor_lam_50_oldactive_true,50.0,1.1421474166568255,0.15468993824424457,0.14826562410674415,0.00642431474293098,0.15468993824424457,7.734496882817391,0.9506305858880911,0.002880664715077042,0.0009330708479692958,0.0,0.0,8.876644298842274,0.0,2.0
