method,first_step,later_steps,all_seen,old_new_gap,min_old_new,avg_old_new,gap_to_joint_all_seen
seq_ft_no_replay,0.0,26.55,21.240000000000002,-26.55,0.0,13.275,64.57
simple_avg_no_replay,62.74999999999999,50.975,53.33,11.774999999999991,50.975,56.8625,32.480000000000004
simple_avg_replay,67.25,55.074999999999996,57.50999999999999,12.175000000000004,55.074999999999996,61.162499999999994,28.30000000000001
simple_avg_replay_orth,67.35,55.1875,57.620000000000005,12.162499999999994,55.1875,61.26875,28.189999999999998
do_merging_simple,59.099999999999994,42.7125,45.989999999999995,16.387499999999996,42.7125,50.90625,39.82000000000001
do_merging_datafree_orth,0.44999999999999996,0.9875,0.88,-0.5375000000000001,0.44999999999999996,0.71875,84.93
rank_extension,0.4,24.375,19.580000000000002,-23.975,0.4,12.3875,66.23
rank_extension_orth,0.44999999999999996,24.2,19.45,-23.75,0.44999999999999996,12.325,66.36
joint_upper_bound,86.75,85.575,85.81,1.1749999999999972,85.575,86.1625,0.0
