method,step,orth_loss_type,orth_scale_mode,orth_target_ratio,lambda_orth,effective_lambda_mean,ce_loss_mean,orth_loss_raw_mean,orth_loss_abs_mean,orth_loss_squared_mean,orth_loss_used_mean,orth_contribution_mean,orth_contribution_ratio_mean,orth_contribution_ratio_from_means,mean_delta_norm,mean_previous_weight_norm,mean_cosine_alignment,raw_trace_unnormalized_mean,trace_loss_mean,qr_loss_mean,orth_loss_mean,use_ipc,lambda_ipc,ipc_loss_mean,ipc_protected_layers,total_loss_mean,logged_steps
rank_extension_orth_trace_lam_0.03_normalized_fro,1,trace,normalized_fro,0.0,0.03,0.029999999329447746,0.557444277143725,8.432677884640285e-05,0.000623320071722876,5.096557591536411e-06,0.000623320071722876,1.8699601722722913e-05,0.00020861095085170027,3.354523938883603e-05,0.5190972891237048,11.775283813476562,8.432677884640285e-05,0.0010412929987238253,5.096557591536411e-06,0.0,5.096557591536411e-06,False,0.0,0.0,0,0.557462976515104,2127
rank_extension_orth_trace_lam_0.03_normalized_fro,2,trace,normalized_fro,0.0,0.03,0.029999999329447746,0.7424631502127278,-8.971373095970719e-05,0.0005591173310268042,4.3529864503928245e-06,0.0005591173310268042,1.6773519532054625e-05,0.00013802559150783968,2.259171990858905e-05,0.4315657157746553,11.799470901489258,-8.971373095970719e-05,-0.0017159027028721503,4.3529864503928245e-06,0.1582590790144087,4.3529864503928245e-06,False,0.0,0.0,0,0.7424799241620362,2127
rank_extension_orth_trace_lam_0.03_normalized_fro,3,trace,normalized_fro,0.0,0.03,0.029999999329447746,0.7973978313191373,-0.00010121043801362609,0.0005499063605695724,3.346519060192265e-06,0.0005499063605695724,1.6497190402559416e-05,6.211133190674935e-05,2.068878263095859e-05,0.4224091152856828,11.816153526306152,-0.00010121043801362609,-0.0010005583947600494,3.346519060192265e-06,0.15077684884150935,3.346519060192265e-06,False,0.0,0.0,0,0.7974143295947744,2127
rank_extension_orth_trace_lam_0.03_normalized_fro,4,trace,normalized_fro,0.0,0.03,0.029999999329447746,0.9321139928708347,-0.0005216543851933235,0.0012240134673057361,6.1295902149120936e-06,0.0012240134673057361,3.672040322842908e-05,0.00010997685551724027,3.939475590891329e-05,0.4215828824327952,11.832387924194336,-0.0005216543851933235,-0.003281510851026829,6.1295902149120936e-06,2.361887340429079,6.1295902149120936e-06,False,0.0,0.0,0,0.9321507144199188,2127
rank_extension_orth_trace_lam_0.03_normalized_fro,5,trace,normalized_fro,0.0,0.03,0.029999999329447746,0.7216050938423328,-0.00012618178826882167,0.0006366635877966354,3.5651937075599683e-06,0.0006366635877966354,1.9099907137025044e-05,0.00015176732753728055,2.646864233638334e-05,0.4423177995192762,11.847326278686523,-0.00012618178826882167,-0.0011640160087207088,3.5651937075599683e-06,0.13739389387805753,3.5651937075599683e-06,False,0.0,0.0,0,0.7216241945130343,2127
rank_extension_orth_trace_lam_0.05_normalized_fro,1,trace,normalized_fro,0.0,0.05,0.05000000074505806,0.5585881759989245,7.573963208289822e-05,0.0005188300792968205,4.482158734410854e-06,0.0005188300792968205,2.5941504376358517e-05,0.0002643836976110761,4.644119852692418e-05,0.510318644459817,11.775283813476562,7.573963208289822e-05,0.0009391172085270718,4.482158734410854e-06,0.0,4.482158734410854e-06,False,0.0,0.0,0,0.5586141185207992,2127
rank_extension_orth_trace_lam_0.05_normalized_fro,2,trace,normalized_fro,0.0,0.05,0.05000000074505806,0.7422106244444119,-0.00010611883942596697,0.0004363854527340998,3.8087303006939604e-06,0.0004363854527340998,2.181927310534918e-05,0.00015012200272719495,2.939768360454579e-05,0.42788206190517936,11.799067497253418,-0.00010611883942596697,-0.0016596840499416873,3.8087303006939604e-06,0.15881066987939882,3.8087303006939604e-06,False,0.0,0.0,0,0.7422324444518039,2127
rank_extension_orth_trace_lam_0.05_normalized_fro,3,trace,normalized_fro,0.0,0.05,0.05000000074505806,0.7971848738714737,-5.886191953809988e-05,0.0004220919044276539,2.8981063705568702e-06,0.0004220919044276539,2.110459558646336e-05,7.330152386928741e-05,2.6473903705636483e-05,0.41457337213123113,11.815669059753418,-5.886191953809988e-05,-0.0007298016103543636,2.8981063705568702e-06,0.14964413789653083,2.8981063705568702e-06,False,0.0,0.0,0,0.7972059783350184,2127
rank_extension_orth_trace_lam_0.05_normalized_fro,4,trace,normalized_fro,0.0,0.05,0.05000000074505806,0.9325003430044141,-0.0004712664964440889,0.0009829254652805658,4.781255252701085e-06,0.0009829254652805658,4.914627403643601e-05,0.00014165031349379565,5.270375974135526e-05,0.41772102171899667,11.83161449432373,-0.0004712664964440889,-0.003602058029336103,4.781255252701085e-06,2.363861921644009,4.781255252701085e-06,False,0.0,0.0,0,0.932549489226821,2127
rank_extension_orth_trace_lam_0.05_normalized_fro,5,trace,normalized_fro,0.0,0.05,0.05000000074505806,0.7329171926245535,-0.0001392604131304401,0.00047636963490692947,2.901435026508172e-06,0.00047636963490692947,2.381848221330651e-05,0.00017024527361557125,3.2498190045199066e-05,0.43351680563548495,11.846442222595215,-0.0001392604131304401,-0.000849028288974163,2.901435026508172e-06,0.13625247882294667,2.901435026508172e-06,False,0.0,0.0,0,0.7329410104624854,2127
rank_extension_orth_trace_lam_0.1_normalized_fro,1,trace,normalized_fro,0.0,0.1,0.10000000149011612,0.559905252128237,5.424774949961251e-05,0.0003535549076691425,3.454289737819019e-06,0.0003535549076691425,3.5355491489635424e-05,0.0003113604994334049,6.314548998289774e-05,0.4984748391868757,11.775283813476562,5.424774949961251e-05,0.0007229943546602795,3.454289737819019e-06,0.0,3.454289737819019e-06,False,0.0,0.0,0,0.5599406090579038,2127
rank_extension_orth_trace_lam_0.1_normalized_fro,2,trace,normalized_fro,0.0,0.1,0.10000000149011612,0.7438601958230453,-5.6265026335864795e-05,0.0003018512895362422,3.1841234917211722e-06,0.0003018512895362422,3.0185129440783277e-05,0.00015052552744740526,4.057903569821328e-05,0.42083509923677775,11.798487663269043,-5.6265026335864795e-05,-0.0009663969530729196,3.1841234917211722e-06,0.1575639442443063,3.1841234917211722e-06,False,0.0,0.0,0,0.7438903818236244,2127
rank_extension_orth_trace_lam_0.1_normalized_fro,3,trace,normalized_fro,0.0,0.1,0.10000000149011612,0.7983220891320318,-4.6145854317710704e-05,0.0003154232693313072,2.6432592689329956e-06,0.0003154232693313072,3.154232753971708e-05,9.942611048073579e-05,3.951077888125478e-05,0.4069029396246321,11.81495189666748,-4.6145854317710704e-05,-0.0006358425658846926,2.6432592689329956e-06,0.14914095368837044,2.6432592689329956e-06,False,0.0,0.0,0,0.7983536305371015,2127
rank_extension_orth_trace_lam_0.1_normalized_fro,4,trace,normalized_fro,0.0,0.1,0.10000000149011612,0.9289448024747963,-0.0003716257860403577,0.0006701177002846333,3.5279671440972514e-06,0.0006701177002846333,6.701177115047278e-05,0.00017314784793948822,7.2137516644635e-05,0.4045855813799694,11.830439567565918,-0.0003716257860403577,-0.003009752712368018,3.5279671440972514e-06,2.362233858350638,3.5279671440972514e-06,False,0.0,0.0,0,0.929011814488027,2127
