method,first_step,later_steps,all_seen,old_new_gap,min_old_new,avg_old_new,gap_to_joint_all_seen,first_step_drop_vs_seq_ft
rank_extension,2.45,25.4875,20.880000000000003,-23.0375,2.45,13.96875,,
rank_extension_orth,0.2,25.4625,20.41,-25.2625,0.2,12.831249999999999,,
rank_extension_orth_trace_lam_0.03_normalized_fro,0.05,24.55,19.650000000000002,-24.5,0.05,12.3,,
rank_extension_orth_trace_lam_0.05_normalized_fro,0.1,24.375,19.52,-24.275,0.1,12.2375,,
rank_extension_orth_trace_lam_0.1_normalized_fro,0.2,25.3125,20.29,-25.1125,0.2,12.75625,,
rank_extension_orth_trace_lam_0.3_normalized_fro,0.35000000000000003,24.675,19.81,-24.325,0.35000000000000003,12.512500000000001,,
rank_extension_orth_trace_lam_1_normalized_fro,0.2,25.4625,20.41,-25.2625,0.2,12.831249999999999,,
