method,all_seen_accuracy_NEW,final_validation_ce_NEW,best_validation_ce_NEW,train_val_ce_gap_final_epoch_NEW,overfitting_signal_NEW,overfitting_score_NEW,all_seen_accuracy_PREV,final_validation_ce_PREV,best_validation_ce_PREV,train_val_ce_gap_final_epoch_PREV,overfitting_signal_PREV,overfitting_score_PREV
rank_extension_orth_factor_lam_50_kd_T2,26.24,0.647516845703125,0.165718651086092,0.1598863122940063,strong,4.692803595970571,67.97999999999999,0.6865170893669128,0.1379956350252032,0.0627227066040039,strong,1.671451826152578
rank_extension_kd_only_T2,50.12,0.6368981928825378,0.165718651086092,0.1595246067047118,strong,4.415591960094869,59.29,0.6568740229606629,0.1379956350252032,0.1375822672367096,strong,2.9481161346051845
rank_extension,53.95,0.1274172832966142,0.1100603222846402,0.1204310836843951,moderate,3.684446808700858,23.56,0.1237784280925989,0.1237784280925989,0.097126648097299,moderate,2.2039645574344324
rank_extension_orth_factor_lam_50,64.95,0.109922645568844,0.1022309536933971,0.1029842541432342,moderate,3.9025679922318295,35.099999999999994,0.1010473408550024,0.0999674401283264,0.0484310141876339,moderate,1.1826787781938912
