method,step,orth_loss_type,orth_scale_mode,orth_target_ratio,lambda_orth,effective_lambda_mean,ce_loss_mean,orth_loss_raw_mean,orth_loss_abs_mean,orth_loss_squared_mean,orth_loss_used_mean,orth_contribution_mean,orth_contribution_ratio_mean,orth_contribution_ratio_from_means,raw_trace_unnormalized_mean,total_loss_mean,logged_steps
simple_avg_orth_source,1,trace,auto_ratio,0.08,1.0,481.52115635228483,1.0468400941525036,-9.695018286580185e-07,0.0003478669492186697,3.471101806602642e-06,0.0003478669492186697,0.08002647851755232,0.06710916515103092,0.07644575228305506,2.709086227703682e-06,1.126866573915341,2127
simple_avg_orth_source,2,trace,auto_ratio,0.08,1.0,477.9227901173131,1.0856310042855208,2.6183450042175547e-06,0.0003787226388175774,4.558186385526787e-06,0.0003787226388175774,0.08320210023116623,0.06718176472382639,0.07663939211640651,-3.4936984587568775e-06,1.168833106518016,2127
simple_avg_orth_source,3,trace,auto_ratio,0.08,1.0,622.6400890332408,1.3067181396215355,-2.583726538773317e-05,0.000355625940700806,3.5217519867417616e-06,0.000355625940700806,0.09739424152219035,0.064197057465759,0.07453347326333025,-1.1210727951553545e-05,1.4041123824832469,2127
simple_avg_orth_source,4,trace,auto_ratio,0.08,1.0,620.3075857247665,1.281910075791632,2.4655127267370206e-05,0.000330294751468557,3.3018779396644192e-06,0.000330294751468557,0.09488359630503385,0.06409349859207068,0.07401735745499881,-1.9815176596364472e-06,1.3767936729703871,2127
simple_avg_orth_source,5,trace,auto_ratio,0.08,1.0,440.7798004069685,0.9954929090633491,3.2197522782027293e-05,0.0003745183333575024,4.87813904077058e-06,0.0003745183333575024,0.07708024757029626,0.06832214268540553,0.07742922814269006,1.1317916482129418e-05,1.0725731573995425,2127
