method_config,lambda_orth,first_step,later_steps,all_seen,avg_forgetting,final_old_new_gap,orth_weighted/CE_mean
rank_extension_orth,1.0,16.05,35.3125,31.46,78.4375,-19.262500000000003,0.07746109952522992
rank_extension_replay_orth,1.0,71.6,70.975,71.1,28.6375,0.6249999999999978,0.07655582545378128
