method,plot_label,display_name,family,base_method,uses_kd,kd_temperature,uses_factor_orth,lambda_orth,mean_train_ce_loss,final_train_ce_loss,mean_val_ce_loss,final_val_ce_loss,mean_train_total_loss,final_train_total_loss,mean_train_kd_loss_raw,final_train_kd_loss_raw,mean_train_kd_loss_weighted,final_train_kd_loss_weighted,mean_train_factor_orth_loss_raw,final_train_factor_orth_loss_raw,mean_train_factor_orth_loss_weighted,final_train_factor_orth_loss_weighted,logged_epoch_rows
simple_avg,simple_avg,SimpleAvg,simple_avg,simple_avg,False,0.0,False,0.0,0.5244317667010084,0.0488792467847466,0.2113930486783385,0.0915709209367632,0.5244317667010084,0.0488792467847466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
rank_extension,rank_extension,RankExt,rank_extension,rank_extension,False,0.0,False,0.0,0.7386863557585633,0.0753028283774852,0.2522902602384488,0.1596529998630285,0.7386863557585633,0.0753028283774852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
simple_avg_factor_orth,"simple_avg_factor_orth
(lambda=50)",SimpleAvg + FactorOrth,simple_avg,simple_avg_factor_orth,False,0.0,True,50.0,1.1984702699777543,0.2506693587779999,0.6558766364564499,0.2799474940299988,435.77525861819777,0.2580543099820613,0.0,0.0,0.0,0.0,8.691535787946801,0.0001476990076331,434.5767888045859,0.0073849503916455,15
rank_extension_orth_factor_lam_50,rank_extension_orth_factor_lam_50,RankExt + FactorOrth,rank_extension,rank_extension_orth_factor_lam_50,False,0.0,True,50.0,1.3355570184114702,0.1131686667144298,0.2494782143960396,0.1233934020996093,25.164047591028044,0.1154953892953693,0.0,0.0,0.0,0.0,0.4765698118760355,4.6534446791338266e-05,23.82849056964017,0.0023267223440809,15
simple_avg_kd_T2,simple_avg_kd_T2,SimpleAvg + KD T2,simple_avg,simple_avg_kd,True,2.0,False,0.0,0.8151120057216878,0.3774328897953034,0.5359102998962004,0.43259765625,1.4972756784059849,0.9377976965904236,0.6821636720850411,0.5603648077011109,0.6821636720850411,0.5603648077011109,0.0,0.0,0.0,0.0,15
rank_extension_kd_only_T2,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,True,2.0,False,0.0,1.1030904416070904,0.5408875854492188,0.703770134289066,0.62530224609375,1.8758103135921147,1.3556954782485962,0.7727198713541106,0.8148078930854797,0.7727198713541106,0.8148078930854797,0.0,0.0,0.0,0.0,15
simple_avg_factor_orth_kd_T2,"simple_avg_factor_orth_kd_T2
(lambda=50, T=2)",SimpleAvg + FactorOrth + KD T2,simple_avg,simple_avg_factor_orth_kd,True,2.0,True,50.0,1.493228537138123,0.6357677535057068,1.0423281791120766,0.7141964116096496,435.88478383638096,1.2966543426513673,0.8198875023167925,0.6531710823059083,0.8198875023167925,0.6531710823059083,8.67143336480306,0.0001543101449453,433.57166793895743,0.0077155072399997,15
rank_extension_orth_factor_lam_50_kd_T2,rank_extension_orth_factor_lam_50_kd_T2,RankExt + FactorOrth + KD T2,rank_extension,rank_extension_orth_factor_lam_50_kd,True,2.0,True,50.0,1.5976482345386671,0.6711154430389404,0.8044013277679681,0.7189528799057007,6.788013660447291,1.507333090400696,0.6682790700491954,0.8343507886886596,0.6682790700491954,0.8343507886886596,0.0904417274651625,3.733720357504353e-05,4.522086358792729,0.0018668601807788,15
