method,first_step,later_steps,all_seen
Simple AVG - Normal,62.0,61.262499999999996,61.41
Simple AVG - Orth,61.7,61.262499999999996,61.35
DO-Merge - Normal,62.849999999999994,67.375,66.47
Simple AVG - Replay,63.2,63.0125,63.05
RankExt-IPC-lite + Stitched,42.05,5.975,13.19
Full FT,17.45,37.775,33.71
Joint,92.2,91.4,91.56
