loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_model_preparation_time,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.76270751953125,4.241048336029053,4.2857142857142855e-06,0.016,10,,,,,,,,,,,
4.659130859375,4.242705345153809,9.047619047619047e-06,0.032,20,,,,,,,,,,,
4.447265625,4.265499591827393,1.380952380952381e-05,0.048,30,,,,,,,,,,,
4.26187744140625,4.4202961921691895,1.8571428571428572e-05,0.064,40,,,,,,,,,,,
3.93624267578125,4.594330787658691,2.3333333333333336e-05,0.08,50,,,,,,,,,,,
3.53226318359375,4.273447513580322,2.8095238095238096e-05,0.096,60,,,,,,,,,,,
3.15711669921875,4.816644191741943,2.9991563735937754e-05,0.112,70,,,,,,,,,,,
2.637005615234375,3.904527425765991,2.9940043149812006e-05,0.128,80,,,,,,,,,,,
2.1715240478515625,4.010568141937256,2.9841849547067945e-05,0.144,90,,,,,,,,,,,
1.7715255737304687,3.5510904788970947,2.9697289686635703e-05,0.16,100,,,,,,,,,,,
1.3501251220703125,3.521376132965088,2.9506815176633184e-05,0.176,110,,,,,,,,,,,
1.1726058959960937,3.9199535846710205,2.9271021063532586e-05,0.192,120,,,,,,,,,,,
0.9254436492919922,3.292509078979492,2.8990643973222382e-05,0.208,130,,,,,,,,,,,
0.8145591735839843,1.936081051826477,2.8666559809772217e-05,0.224,140,,,,,,,,,,,
0.6566730499267578,3.170520544052124,2.829978101908969e-05,0.24,150,,,,,,,,,,,
0.49747638702392577,1.8250986337661743,2.7891453426017552e-05,0.256,160,,,,,,,,,,,
0.48884143829345705,2.4998722076416016,2.7442852654752196e-05,0.272,170,,,,,,,,,,,
0.44243450164794923,2.615297317504883,2.6955380143766216e-05,0.288,180,,,,,,,,,,,
0.3902006149291992,1.8188549280166626,2.643055876768441e-05,0.304,190,,,,,,,,,,,
0.33811655044555666,2.890486001968384,2.5870028079790644e-05,0.32,200,,,,,,,,,,,
0.2891021728515625,3.373400926589966,2.5275539190028103e-05,0.336,210,,,,,,,,,,,
0.3052013397216797,4.442647457122803,2.4648949294494082e-05,0.352,220,,,,,,,,,,,
0.24192466735839843,2.584172010421753,2.399221587351939e-05,0.368,230,,,,,,,,,,,
0.25995588302612305,1.8389416933059692,2.3307390576457612e-05,0.384,240,,,,,,,,,,,
0.25009541511535643,3.637500047683716,2.2596612812288356e-05,0.4,250,,,,,,,,,,,
0.2660078048706055,1.0591912269592285,2.1862103066057504e-05,0.416,260,,,,,,,,,,,
0.2306241512298584,2.5059962272644043,2.1106155962034104e-05,0.432,270,,,,,,,,,,,
0.2857814788818359,3.49739146232605,2.033113309525472e-05,0.448,280,,,,,,,,,,,
0.2568670749664307,1.004978895187378,1.9539455653849667e-05,0.464,290,,,,,,,,,,,
0.1486806869506836,1.7081964015960693,1.8733596855199147e-05,0.48,300,,,,,,,,,,,
0.2101222038269043,2.5298471450805664,1.7916074219548865e-05,0.496,310,,,,,,,,,,,
0.15421066284179688,0.7380843758583069,1.7089441705222567e-05,0.512,320,,,,,,,,,,,
0.1701967239379883,3.57771897315979,1.6256281730001214e-05,0.528,330,,,,,,,,,,,
0.3375372886657715,7.709050178527832,1.5419197103594208e-05,0.544,340,,,,,,,,,,,
0.1597352981567383,2.550405740737915,1.4580802896405795e-05,0.56,350,,,,,,,,,,,
0.1561891555786133,3.3419437408447266,1.374371826999879e-05,0.576,360,,,,,,,,,,,
0.23890328407287598,2.35966420173645,1.2910558294777437e-05,0.592,370,,,,,,,,,,,
0.16994528770446776,2.795748472213745,1.2083925780451141e-05,0.608,380,,,,,,,,,,,
0.19142184257507325,1.7240973711013794,1.1266403144800856e-05,0.624,390,,,,,,,,,,,
0.1082298755645752,0.2723684310913086,1.0460544346150335e-05,0.64,400,,,,,,,,,,,
0.16776032447814943,2.415537118911743,9.668866904745283e-06,0.656,410,,,,,,,,,,,
0.20721135139465333,3.669511318206787,8.893844037965897e-06,0.672,420,,,,,,,,,,,
0.12649354934692383,0.9667621850967407,8.137896933942495e-06,0.688,430,,,,,,,,,,,
0.1381626844406128,0.35831284523010254,7.40338718771165e-06,0.704,440,,,,,,,,,,,
0.24999117851257324,0.4815268814563751,6.6926094235423925e-06,0.72,450,,,,,,,,,,,
0.21792178153991698,4.061147212982178,6.007784126480615e-06,0.736,460,,,,,,,,,,,
0.13971521854400634,4.777044296264648,5.35105070550592e-06,0.752,470,,,,,,,,,,,
0.2582144498825073,1.4916179180145264,4.7244608099719e-06,0.768,480,,,,,,,,,,,
0.17873833179473878,5.637241363525391,4.129971920209359e-06,0.784,490,,,,,,,,,,,
0.15842792987823487,1.6367096900939941,3.5694412323155945e-06,0.8,500,,,,,,,,,,,
0.15895919799804686,0.18806563317775726,3.044619856233786e-06,0.816,510,,,,,,,,,,,
0.16317596435546874,1.5185593366622925,2.5571473452478043e-06,0.832,520,,,,,,,,,,,
0.08880999088287353,1.5751453638076782,2.1085465739824516e-06,0.848,530,,,,,,,,,,,
0.16024630069732665,0.6645869016647339,1.7002189809103108e-06,0.864,540,,,,,,,,,,,
0.16763873100280763,1.6893609762191772,1.3334401902277849e-06,0.88,550,,,,,,,,,,,
0.19339933395385742,2.5673294067382812,1.0093560267776181e-06,0.896,560,,,,,,,,,,,
0.1469569444656372,1.5493056774139404,7.289789364674166e-07,0.912,570,,,,,,,,,,,
0.17834644317626952,1.7335978746414185,4.931848233668151e-07,0.928,580,,,,,,,,,,,
0.15200142860412597,2.878321409225464,3.0271031336429724e-07,0.944,590,,,,,,,,,,,
0.10970921516418457,3.16230845451355,1.5815045293205544e-07,0.96,600,,,,,,,,,,,
0.15182952880859374,2.7168025970458984,5.995685018799823e-08,0.976,610,,,,,,,,,,,
0.11588335037231445,1.2065249681472778,8.436264062248178e-09,0.992,620,,,,,,,,,,,
,,,1.0,625,0.18864165246486664,0.0019,0.9625,1.9494,1025.97,32.318,,,,,
,,,1.0,625,,,,,,,53.6762,186.302,11.644,7.7560054161408e+17,0.808706693649292
,,,1.0,625,0.18864165246486664,0.0019,0.9625,1.9813,1009.433,31.797,,,,,
,,,1.0,625,0.18864165246486664,0.0019,0.9625,1.8776,1065.165,33.553,,,,,
,,,1.0,625,0.18864165246486664,0.0019,0.9625,1.8921,1057.043,33.297,,,,,
