step,current_classes_min,current_classes_max,seen_classes_count,old_seen_classes_count,unseen_classes_count,classifier_delta_current_mean,classifier_delta_old_seen_mean,classifier_delta_unseen_mean,classifier_delta_current_max,classifier_delta_old_seen_max,classifier_delta_unseen_max,classifier_norm_current_mean,classifier_norm_old_seen_mean,classifier_norm_unseen_mean
1,0,19,20,0,80,0.053985439240932465,,0.08290594816207886,0.06245320662856102,,0.09443739801645279,0.5740339159965515,,0.5615909695625305
2,20,39,40,20,60,0.058074064552783966,0.0423821285367012,0.09853145480155945,0.06825615465641022,0.07281415164470673,0.10809525102376938,0.5849406719207764,0.5713120102882385,0.5701391100883484
3,40,59,60,40,40,0.0537487156689167,0.0547197088599205,0.09710846841335297,0.06996616721153259,0.09364152699708939,0.10630321502685547,0.5920711159706116,0.5778450965881348,0.5742360353469849
4,60,79,80,60,20,0.05527959018945694,0.0695544108748436,0.10189380496740341,0.06620509922504425,0.1055469810962677,0.11118447780609131,0.595730721950531,0.5832763910293579,0.5763322710990906
5,80,99,100,80,0,0.05639898031949997,0.07364676892757416,,0.06300617009401321,0.10389211773872375,,0.5994278788566589,0.5857510566711426,
