method,step_id,val_ce_loss,group_mean_val_ce_loss,relative_difficulty,boost_factor,group_mean_row_norm,target_row_norm
rank_extension,1,0.2266465032119304,0.20480198226040228,1.0,1.0,0.726061999797821,0.726061999797821
rank_extension,2,0.2242128884792328,0.20480198226040228,1.0,1.0,0.726061999797821,0.726061999797821
rank_extension,3,0.17566635513305665,0.20480198226040228,1.0,1.0,0.726061999797821,0.726061999797821
rank_extension,4,0.2823898119945079,0.20480198226040228,1.0,1.0,0.726061999797821,0.726061999797821
rank_extension,5,0.11509435248328373,0.20480198226040228,1.0,1.0,0.726061999797821,0.726061999797821
rank_extension_kd_only_T2,1,0.2266465032119304,0.2266465032119304,1.0,1.0,0.6777319312095642,0.6777319312095642
rank_extension_kd_only_T2,2,0.9272528080940247,0.758076751947403,1.2231648124177794,1.1059678170804879,0.6720249056816101,0.743237917960411
rank_extension_kd_only_T2,3,0.7384003915786743,0.758076751947403,0.9740443690982706,0.9869368617587807,0.6720249056816101,0.6632461514371488
rank_extension_kd_only_T2,4,0.7545551755428315,0.758076751947403,0.9953545912131918,0.9976745918450524,0.6720249056816101,0.6704621734856102
rank_extension_kd_only_T2,5,0.6120986325740814,0.758076751947403,0.807436227270758,0.8985745529842017,0.6720249056816101,0.6038644792171032
rank_extension_orth_factor_lam_50,1,0.2266465032119304,0.1792277747519314,1.0,1.0,0.7990977764129639,0.7990977764129639
rank_extension_orth_factor_lam_50,2,0.17654614824056625,0.1792277747519314,1.0,1.0,0.7990977764129639,0.7990977764129639
rank_extension_orth_factor_lam_50,3,0.1450332396030426,0.1792277747519314,1.0,1.0,0.7990977764129639,0.7990977764129639
rank_extension_orth_factor_lam_50,4,0.22877181505970656,0.1792277747519314,1.0,1.0,0.7990977764129639,0.7990977764129639
rank_extension_orth_factor_lam_50,5,0.11914116764441132,0.1792277747519314,1.0,1.0,0.7990977764129639,0.7990977764129639
rank_extension_orth_factor_lam_50_kd_T2,1,0.2266465032119304,0.2266465032119304,1.0,1.0,0.6759300231933594,0.6759300231933594
rank_extension_orth_factor_lam_50_kd_T2,2,0.9278798828125,0.7661743168234825,1.2110558425652274,1.1004798237883453,0.7313804626464844,0.8048694426554416
rank_extension_orth_factor_lam_50_kd_T2,3,0.7609147968292236,0.7661743168234825,0.9931353480810156,0.9965617633047213,0.7313804626464844,0.7288658035016033
rank_extension_orth_factor_lam_50_kd_T2,4,0.7518383784294128,0.7661743168234825,0.9812889337592186,0.9906002896018244,0.7313804626464844,0.7245056981067237
rank_extension_orth_factor_lam_50_kd_T2,5,0.6240642092227936,0.7661743168234825,0.8145198755945386,0.9025075487742685,0.7313804626464844,0.660076388564469
