method_name,display_name,step_id,epoch,train_ce_loss,val_ce_loss
rank_extension,RankExt,1,1,1.9327436039763854,0.398368896484375
rank_extension,RankExt,1,2,0.19844454485831448,0.1967336006090045
rank_extension,RankExt,1,3,0.1172894161450295,0.21758992385677994
rank_extension,RankExt,1,4,0.07173289972487226,0.2081072149258107
rank_extension,RankExt,1,5,0.0408455078556397,0.20190091678500174
rank_extension,RankExt,1,6,0.023173327601493765,0.22120507097244263
rank_extension,RankExt,1,7,0.015120043805094253,0.2163556017577648
rank_extension,RankExt,1,8,0.011802565350200118,0.2070769062191248
rank_extension,RankExt,1,9,0.013508046477520838,0.20322159697115422
rank_extension,RankExt,2,1,2.7356504188231674,0.43588841247558596
rank_extension,RankExt,2,2,0.2131542400090543,0.23402224326133728
rank_extension,RankExt,2,3,0.10304892320361476,0.2086817793827504
rank_extension,RankExt,2,4,0.05610654061568565,0.2504648451805115
rank_extension,RankExt,2,5,0.03183005538723264,0.191647620908916
rank_extension,RankExt,2,6,0.017708289761718392,0.20471420669555665
rank_extension,RankExt,2,7,0.011055192314699048,0.21226429316401482
rank_extension,RankExt,2,8,0.00813614948159828,0.1982527907192707
rank_extension,RankExt,2,9,0.012033091482007876,0.19947761896252633
rank_extension,RankExt,3,1,3.0733339499724868,0.3962522878646851
rank_extension,RankExt,3,2,0.2997267286308476,0.2370556755065918
rank_extension,RankExt,3,3,0.1685608212820819,0.19278105640411378
rank_extension,RankExt,3,4,0.11495753805168339,0.20040627241134643
rank_extension,RankExt,3,5,0.0773141028370983,0.1808042869567871
rank_extension,RankExt,3,6,0.05477449012553839,0.21817658615112304
rank_extension,RankExt,3,7,0.03624553353283325,0.22572229695320128
rank_extension,RankExt,3,8,0.027283309957873245,0.23611245441436768
rank_extension,RankExt,3,9,0.027126135611534118,0.24348801517486574
rank_extension,RankExt,4,1,3.2512614945050347,0.4630797731876373
rank_extension,RankExt,4,2,0.32335581345880615,0.2902252121567726
rank_extension,RankExt,4,3,0.1810132513967816,0.2903039741590619
rank_extension,RankExt,4,4,0.1134620201004837,0.3209352035531774
rank_extension,RankExt,4,5,0.07500989864137574,0.29043161058425904
rank_extension,RankExt,4,6,0.0435151141968968,0.287493420843035
rank_extension,RankExt,4,7,0.024407707541593212,0.3063013241291046
rank_extension,RankExt,4,8,0.01934782687591801,0.28783868169784543
rank_extension,RankExt,4,9,0.023204175219265745,0.29252668929006903
rank_extension,RankExt,5,1,3.126895647782546,0.36685992431640624
rank_extension,RankExt,5,2,0.1934239857181235,0.17220696830749513
rank_extension,RankExt,5,3,0.09442259468497007,0.1730597786884755
rank_extension,RankExt,5,4,0.04628895743498121,0.1601610512752086
rank_extension,RankExt,5,5,0.02979407248890684,0.1891272776122205
rank_extension,RankExt,5,6,0.01492476949843265,0.17036790800094603
rank_extension,RankExt,5,7,0.009585483730880383,0.17364040994620883
rank_extension,RankExt,5,8,0.0073614527171021555,0.16871553993225097
