method_config,orth_scale_mode,target_ratio,effective_lambda_mean,first_step,later_steps,all_seen,avg_forgetting,final_old_new_gap,orth_weighted/CE_mean,first_step_gain_vs_rank_extension,later_steps_gain_vs_rank_extension,all_seen_gain_vs_rank_extension,avg_forgetting_gain_vs_rank_extension,final_old_new_gap_gain_vs_rank_extension,all_seen_improves_vs_rank_extension
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.002,auto_ratio,0.002,63.89055779166624,0.25,25.924999999999997,20.79,91.45,-25.674999999999997,0.0019591697492307705,-2.2,0.43749999999999645,-0.09000000000000341,0.30000000000001137,-2.6374999999999957,False
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.005,auto_ratio,0.005,93.33397206406451,4.3999999999999995,28.849999999999998,23.96,87.925,-24.45,0.004874234139231946,1.9499999999999993,3.362499999999997,3.0799999999999983,-3.2249999999999943,-1.4124999999999979,True
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,auto_ratio,0.01,113.22046468894584,4.95,29.2875,24.42,87.425,-24.337500000000002,0.009742122828227031,2.5,3.8000000000000007,3.539999999999999,-3.7249999999999943,-1.3000000000000007,True
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.02,auto_ratio,0.02,146.5512588927877,8.35,31.924999999999997,27.21,83.87500000000001,-23.574999999999996,0.019467840383068813,5.8999999999999995,6.4374999999999964,6.329999999999998,-7.274999999999977,-0.5374999999999943,True
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,auto_ratio,0.05,231.09508984254794,12.2,34.2875,29.87,80.6375,-22.0875,0.04855119524957329,9.75,8.8,8.989999999999998,-10.512499999999989,0.9500000000000028,True
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.08,auto_ratio,0.08,317.1974015021694,16.05,35.3125,31.46,78.4375,-19.262500000000003,0.07746109952522992,13.600000000000001,9.825,10.579999999999998,-12.712499999999991,3.7749999999999986,True
