step,ce_loss_mean,weighted_kd_loss_mean,weighted_factor_orth_mean,total_loss_mean,kd_loss_mean,factor_total_penalty_mean,epoch_max,num_rows
1,0.553268654782502,0.0,0.0,0.553268654782502,0.0,0.0,3.0,2127
2,1.6781737000716925,1.037549743578683,0.6477070611028747,3.3634305085494702,1.037549743578683,0.01295414133730148,3.0,2127
3,1.5466082366240321,0.8171993022466926,0.9335801952393264,3.2973877375934064,0.8171993022466926,0.01867160373800821,3.0,2127
4,1.67842830286712,0.7615517169228598,1.3721761997682225,3.8121562289922633,0.7615517169228598,0.027443524204659335,3.0,2127
5,1.5262408281190887,0.6965251067529823,1.7750622770214757,3.9978282128806173,0.6965251067529823,0.03550124550361528,3.0,2127
