method_name,display_name,step_id,epoch,train_ce_loss,val_ce_loss
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,1,1,1.7527407560186574,0.2648649595975876
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,1,2,0.18605913265806728,0.1741650161743164
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,1,3,0.11508613038258475,0.1616349697113037
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,1,4,0.07038376003228983,0.13799563502520323
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,1,5,0.05086415144500368,0.15171554853022098
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,1,6,0.039816779790073635,0.14574379087239503
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,2,1,4.718490086605623,0.40239774346351626
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,2,2,0.2041945887271498,0.21891455078125
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,2,3,0.1056430069683883,0.19001391123980282
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,2,4,0.0661464591174707,0.15892586516588927
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,2,5,0.04437870596703447,0.15804386593401432
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,2,6,0.03720993396192789,0.1648817276880145
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,3,1,5.532478121171802,0.4750083637237549
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,3,2,0.2965267695852968,0.22332471084594727
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,3,3,0.18427476249024516,0.18146039772033692
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,3,4,0.14078201065297988,0.16953540229797362
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,3,5,0.1106267159285604,0.15068081569671632
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,3,6,0.09787996187210082,0.1513513584136963
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,4,1,5.9304361494834215,0.6326388932466507
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,4,2,0.3946064294239537,0.27570014995336534
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,4,3,0.22689471503444872,0.2385532264560461
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,4,4,0.16698610305053288,0.21292426776885987
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,4,5,0.1285713346949855,0.19507906126976013
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,4,6,0.11313056018054485,0.19150346874445676
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,5,1,6.742712991351777,0.3668802332878113
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,5,2,0.1915445682562155,0.16348560616374017
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,5,3,0.11154780366351126,0.12106153296679259
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,5,4,0.07587135464685862,0.10514584282040595
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,5,5,0.0638502402017351,0.09996744012832641
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,5,6,0.052616326667368415,0.1010473408550024
simple_avg,SimpleAvg,1,1,1.7050223528009683,0.28020729061961175
simple_avg,SimpleAvg,1,2,0.17845102125381837,0.21713414570689202
simple_avg,SimpleAvg,1,3,0.09738505243087096,0.1699021167717874
simple_avg,SimpleAvg,1,4,0.05342065911801135,0.17497457981109618
simple_avg,SimpleAvg,1,5,0.03309400746079742,0.17641075801849365
simple_avg,SimpleAvg,1,6,0.025829605624265967,0.17448640061914922
simple_avg,SimpleAvg,2,1,1.6772403029295115,0.30148872327804566
simple_avg,SimpleAvg,2,2,0.16597567687543935,0.17848802948743106
simple_avg,SimpleAvg,2,3,0.07960169775006895,0.18150041770748795
simple_avg,SimpleAvg,2,4,0.04163019922905464,0.16663336801342665
simple_avg,SimpleAvg,2,5,0.022781997019058614,0.17018648243322967
simple_avg,SimpleAvg,2,6,0.01911301324898377,0.17863232993707062
simple_avg,SimpleAvg,3,1,1.7019919785267008,0.3344263467788696
simple_avg,SimpleAvg,3,2,0.23953628797755866,0.1992139925956726
simple_avg,SimpleAvg,3,3,0.13811482053677568,0.19228914165496827
simple_avg,SimpleAvg,3,4,0.08952617889545003,0.19397648286819458
simple_avg,SimpleAvg,3,5,0.06191478086650738,0.17393453788757324
simple_avg,SimpleAvg,3,6,0.05314323635697365,0.184777379989624
simple_avg,SimpleAvg,4,1,1.8017105072700157,0.4187812195122242
simple_avg,SimpleAvg,4,2,0.2797654986671615,0.27650937651842833
simple_avg,SimpleAvg,4,3,0.1587965225610027,0.26401391219720244
simple_avg,SimpleAvg,4,4,0.09150664997516109,0.2920917387008667
simple_avg,SimpleAvg,4,5,0.05504066577299544,0.23140803575515748
simple_avg,SimpleAvg,4,6,0.045313629775028674,0.2398207931513898
simple_avg,SimpleAvg,5,1,1.5905932505262952,0.19339230343699454
simple_avg,SimpleAvg,5,2,0.13228412225964617,0.11490860367193818
simple_avg,SimpleAvg,5,3,0.07013538379344296,0.13360327100753785
simple_avg,SimpleAvg,5,4,0.034722985610648315,0.12193118953797966
simple_avg,SimpleAvg,5,5,0.016988394802749218,0.10107498741243034
simple_avg,SimpleAvg,5,6,0.015293796784058213,0.09457891988800839
