method,display_method_name,cl_step,local_epoch,global_epoch,train_ce_loss,val_ce_loss,train_total_loss,kd_loss_raw,kd_loss_weighted,factor_orth_loss_raw,factor_orth_loss_weighted,delta_trace_loss_raw,delta_trace_loss_weighted,learning_rate,lambda_orth,kd_temperature,lora_rank,lora_alpha,lora_dropout,target_modules,batch_size,num_epochs,optimizer,scheduler,method_name,display_name,family,base_method,step_id,epoch,uses_kd,kd_weight,uses_delta_trace,uses_factor_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules_x,train_kd_loss_raw,train_kd_loss_weighted,train_delta_trace_loss_raw,train_delta_trace_loss_weighted,train_factor_orth_loss_raw,train_factor_orth_loss_weighted,train_delta_trace_weighted_over_ce,train_factor_orth_weighted_over_ce,train_kd_weighted_over_ce,val_total_loss,target_modules_y
rank_extension,RankExt,3,4,16,0.11529511054519748,0.1657831516265869,0.11529511054519748,,,,,,,3.018935110253619e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,4,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,3,5,17,0.08622103837914154,0.15222271871566773,0.08622103837914154,,,,,,,8.223616450958865e-06,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,5,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,3,6,18,0.07634627146720886,0.1558743929862976,0.07634627146720886,,,,,,,0.0,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,3,6,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,1,19,3.0364023589463556,0.5511300654411316,3.0364023589463556,,,,,,,9.86480580696908e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,1,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,2,20,0.34817174487426633,0.3027951967716217,0.34817174487426633,,,,,,,8.430152761045664e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,2,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,3,21,0.20287753885886708,0.27888137912750244,0.20287753885886708,,,,,,,5.8671692881207665e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,3,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,4,22,0.13328939264060044,0.255560862660408,0.13328939264060044,,,,,,,3.018935110253619e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,4,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,5,23,0.09363880643590552,0.2505376529097557,0.09363880643590552,,,,,,,8.223616450958865e-06,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,5,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,4,6,24,0.08347697859406471,0.2526942900419235,0.08347697859406471,,,,,,,0.0,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,4,6,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,5,1,25,2.7208123672540174,0.3568236849308014,2.7208123672540174,,,,,,,9.86480580696908e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,5,1,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
