method,rank_all_seen,first_step,later_steps,all_seen,old_new_gap
simple_avg_factor_orth,1,71.2,76.625,75.53999999999999,-5.424999999999997
simple_avg,2,82.0,69.6125,72.09,12.387500000000003
simple_avg_kd_T2,3,88.9,67.16250000000001,71.50999999999999,21.737499999999997
simple_avg_factor_orth_kd_T2,4,77.75,68.2875,70.17999999999999,9.462500000000006
rank_extension_orth_factor_lam_50_kd_T2,5,68.95,64.4375,65.34,4.512500000000003
rank_extension_kd_only_T2,6,59.550000000000004,58.675,58.85,0.8750000000000071
rank_extension_orth_factor_lam_50,7,2.9000000000000004,38.2875,31.209999999999997,-35.3875
rank_extension,8,0.8,27.075,21.82,-26.275
