method,display_name,family,base_method,uses_kd,kd_temperature,kd_weight,uses_delta_trace,uses_factor_orth,lambda_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules,method_name,mean_train_ce_loss,final_train_ce_loss,mean_val_ce_loss,final_val_ce_loss,mean_train_total_loss,final_train_total_loss,mean_val_total_loss,final_val_total_loss,mean_train_kd_loss_raw,final_train_kd_loss_raw,mean_train_kd_loss_weighted,final_train_kd_loss_weighted,mean_train_factor_orth_loss_raw,final_train_factor_orth_loss_raw,mean_train_factor_orth_loss_weighted,final_train_factor_orth_loss_weighted,mean_train_delta_trace_loss_raw,final_train_delta_trace_loss_raw,mean_train_delta_trace_loss_weighted,final_train_delta_trace_loss_weighted,mean_kd_weighted_over_ce,mean_factor_orth_weighted_over_ce,mean_delta_trace_weighted_over_ce,logged_epoch_rows,ce_loss_mean,ce_loss_final,val_ce_loss_mean,val_ce_loss_final,total_loss_mean,total_loss_final,kd_loss_raw_mean,kd_loss_raw_final,kd_loss_weighted_mean,kd_loss_weighted_final,factor_orth_loss_raw_mean,factor_orth_loss_raw_final,factor_orth_loss_weighted_mean,factor_orth_loss_weighted_final,delta_trace_loss_raw_mean,delta_trace_loss_raw_final,delta_trace_loss_weighted_mean,delta_trace_loss_weighted_final,kd_over_CE_mean,delta_trace_over_CE_mean,factor_orth_over_CE_mean
simple_avg,SimpleAvg,simple_avg,simple_avg,False,0.0,0.0,False,False,0.0,0.0,0.0,none,80,fixed:80,"q_proj, v_proj",simple_avg,0.5244317667010084,0.048879246784746644,0.2113930486783385,0.09157092093676329,0.5244317667010084,0.048879246784746644,,,,,,,,,,,,,,,,,,15,0.5244317667010084,0.048879246784746644,0.2113930486783385,0.09157092093676329,0.5244317667010084,0.048879246784746644,,,,,,,,,,,,,,,
simple_avg_kd_T2,SimpleAvg + KD T2,simple_avg,simple_avg_kd,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,fixed:80,"q_proj, v_proj",simple_avg_kd_T2,0.8151120057216878,0.3774328897953034,0.5359102998962004,0.43259765625,1.4972756784059849,0.9377976965904236,,,0.6821636720850411,0.5603648077011109,0.6821636720850411,0.5603648077011109,,,,,,,,,1.0696147688967537,,,15,0.8151120057216878,0.3774328897953034,0.5359102998962004,0.43259765625,1.4972756784059849,0.9377976965904236,0.6821636720850411,0.5603648077011109,0.6821636720850411,0.5603648077011109,,,,,,,,,1.0696147688967537,,
simple_avg_delta_orth,SimpleAvg + DeltaTrace,simple_avg,simple_avg_delta_orth,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,fixed:80,"q_proj, v_proj",simple_avg_delta_orth,0.6306698692614081,0.07054543012082577,0.20730769770840807,0.12439606475830078,0.7232546894540716,0.08201923094093799,,,,,,,,,,,0.001851696404912412,0.0002294760189226963,0.09258481998223107,0.011473800939209468,,,0.27136235694827326,15,0.6306698692614081,0.07054543012082577,0.20730769770840807,0.12439606475830078,0.7232546894540716,0.08201923094093799,,,,,,,,,0.001851696404912412,0.0002294760189226963,0.09258481998223107,0.011473800939209468,,0.27136235694827326,
simple_avg_factor_orth,SimpleAvg + FactorOrth,simple_avg,simple_avg_factor_orth,False,0.0,0.0,False,True,50.0,0.0,50.0,factor_orth,80,fixed:80,"q_proj, v_proj",simple_avg_factor_orth,1.1984702699777543,0.2506693587779999,0.6558766364564499,0.2799474940299988,435.77525861819777,0.25805430998206136,,,,,,,8.691535787946801,0.00014769900763312763,434.5767888045859,0.007384950391645544,,,,,,128.45560448579778,,15,1.1984702699777543,0.2506693587779999,0.6558766364564499,0.2799474940299988,435.77525861819777,0.25805430998206136,,,,,8.691535787946801,0.00014769900763312763,434.5767888045859,0.007384950391645544,,,,,,,128.45560448579778
simple_avg_factor_orth_kd_T2,SimpleAvg + FactorOrth + KD T2,simple_avg,simple_avg_factor_orth_kd,True,2.0,1.0,False,True,50.0,0.0,50.0,factor_orth,80,fixed:80,"q_proj, v_proj",simple_avg_factor_orth_kd_T2,1.493228537138123,0.6357677535057068,1.0423281791120766,0.7141964116096496,435.88478383638096,1.2966543426513673,,,0.8198875023167925,0.6531710823059083,0.8198875023167925,0.6531710823059083,8.67143336480306,0.00015431014494533883,433.57166793895743,0.007715507239999715,,,,,0.6546595055366644,118.20263871038483,,15,1.493228537138123,0.6357677535057068,1.0423281791120766,0.7141964116096496,435.88478383638096,1.2966543426513673,0.8198875023167925,0.6531710823059083,0.8198875023167925,0.6531710823059083,8.67143336480306,0.00015431014494533883,433.57166793895743,0.007715507239999715,,,,,0.6546595055366644,,118.20263871038483
rank_extension,RankExt,rank_extension,rank_extension,False,0.0,0.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",rank_extension,0.7386863557585633,0.07530282837748528,0.2522902602384488,0.15965299986302853,0.7386863557585633,0.07530282837748528,,,,,,,,,,,,,,,,,,15,0.7386863557585633,0.07530282837748528,0.2522902602384488,0.15965299986302853,0.7386863557585633,0.07530282837748528,,,,,,,,,,,,,,,
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",rank_extension_kd_only_T2,1.1030904416070904,0.5408875854492188,0.703770134289066,0.62530224609375,1.8758103135921147,1.3556954782485962,,,0.7727198713541106,0.8148078930854797,0.7727198713541106,0.8148078930854797,,,,,,,,,0.9993104322370439,,,15,1.1030904416070904,0.5408875854492188,0.703770134289066,0.62530224609375,1.8758103135921147,1.3556954782485962,0.7727198713541106,0.8148078930854797,0.7727198713541106,0.8148078930854797,,,,,,,,,0.9993104322370439,,
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,rank_extension_orth_delta_trace_lam_50,False,0.0,0.0,True,False,50.0,50.0,0.0,delta_trace,80,16->32->48->64->80,"q_proj, v_proj",rank_extension_orth_delta_trace_lam_50,0.7644819409354271,0.0976668200969696,0.2711636604348818,0.15207962787151336,0.7715737586954301,0.09984492221027613,,,,,,,,,,,0.00014183635885577176,4.3562041766142554e-05,0.007091817941216998,0.0021781020839658593,,,0.03486772452739091,15,0.7644819409354271,0.0976668200969696,0.2711636604348818,0.15207962787151336,0.7715737586954301,0.09984492221027613,,,,,,,,,0.00014183635885577176,4.3562041766142554e-05,0.007091817941216998,0.0021781020839658593,,0.03486772452739091,
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,rank_extension,rank_extension_orth_factor_lam_50,False,0.0,0.0,False,True,50.0,0.0,50.0,factor_orth,80,16->32->48->64->80,"q_proj, v_proj",rank_extension_orth_factor_lam_50,1.3355570184114702,0.11316866671442985,0.24947821439603962,0.12339340209960938,25.164047591028044,0.11549538929536939,,,,,,,0.4765698118760355,4.6534446791338266e-05,23.82849056964017,0.0023267223440809177,,,,,,3.03001981837635,,15,1.3355570184114702,0.11316866671442985,0.24947821439603962,0.12339340209960938,25.164047591028044,0.11549538929536939,,,,,0.4765698118760355,4.6534446791338266e-05,23.82849056964017,0.0023267223440809177,,,,,,,3.03001981837635
rank_extension_orth_factor_lam_50_kd_T2,RankExt + FactorOrth + KD T2,rank_extension,rank_extension_orth_factor_lam_50_kd,True,2.0,1.0,False,True,50.0,0.0,50.0,factor_orth,80,16->32->48->64->80,"q_proj, v_proj",rank_extension_orth_factor_lam_50_kd_T2,1.5976482345386671,0.6711154430389404,0.8044013277679681,0.7189528799057007,6.788013660447291,1.5073330904006959,,,0.6682790700491954,0.8343507886886596,0.6682790700491954,0.8343507886886596,0.09044172746516259,3.733720357504353e-05,4.522086358792729,0.0018668601807788946,,,,,0.7674655881587586,0.6560621635760779,,15,1.5976482345386671,0.6711154430389404,0.8044013277679681,0.7189528799057007,6.788013660447291,1.5073330904006959,0.6682790700491954,0.8343507886886596,0.6682790700491954,0.8343507886886596,0.09044172746516259,3.733720357504353e-05,4.522086358792729,0.0018668601807788946,,,,,0.7674655881587586,,0.6560621635760779
