method,first_step,later_steps,all_seen
rank_extension,2.4,22.95,18.84
rank_extension_replay,52.300000000000004,49.025,49.68
rank_extension_orth,0.1,24.0375,19.25
rank_extension_replay_orth,51.949999999999996,48.8125,49.44
