experiment,method,step,eval_type,eval_accuracy,eval_loss
step1_scratch,full_finetune,1,current_step,0.612,1.4265713691711426
lora_step_2,lora_separate,2,current_step,0.6195,1.2755815982818604
lora_step_2,lora_separate,2,first_step,,
lora_step_2,lora_separate,2,later_steps_seen_so_far,,
lora_step_2,lora_separate,2,all_seen,,
lora_step_3,lora_separate,3,current_step,0.621,1.22723388671875
lora_step_3,lora_separate,3,first_step,,
lora_step_3,lora_separate,3,later_steps_seen_so_far,,
lora_step_3,lora_separate,3,all_seen,,
lora_step_4,lora_separate,4,current_step,0.6055,1.290845513343811
lora_step_4,lora_separate,4,first_step,,
lora_step_4,lora_separate,4,later_steps_seen_so_far,,
lora_step_4,lora_separate,4,all_seen,,
lora_step_5,lora_separate,5,current_step,0.66,1.1057322025299072
lora_step_5,lora_separate,5,first_step,,
lora_step_5,lora_separate,5,later_steps_seen_so_far,,
lora_step_5,lora_separate,5,all_seen,,
ft_step_2,full_finetune,2,current_step,0.647,1.1887661218643188
ft_step_2,full_finetune,2,first_step,0.0035,8.46678352355957
ft_step_2,full_finetune,2,later_steps_seen_so_far,0.647,1.1887661218643188
ft_step_2,full_finetune,2,all_seen,0.32525,4.8277692794799805
ft_step_3,full_finetune,3,current_step,0.6855,1.0565739870071411
ft_step_3,full_finetune,3,first_step,0.0,9.018773078918457
ft_step_3,full_finetune,3,later_steps_seen_so_far,0.34325,4.052771091461182
ft_step_3,full_finetune,3,all_seen,0.22883333333333333,5.708102226257324
ft_step_4,full_finetune,4,current_step,0.6685,1.1046916246414185
ft_step_4,full_finetune,4,first_step,0.0,9.387336730957031
ft_step_4,full_finetune,4,later_steps_seen_so_far,0.2235,5.333021640777588
ft_step_4,full_finetune,4,all_seen,0.167625,6.34660005569458
ft_step_5,full_finetune,5,current_step,0.726,0.9104177355766296
ft_step_5,full_finetune,5,first_step,0.0,9.561864852905273
ft_step_5,full_finetune,5,later_steps_seen_so_far,0.184125,6.273196697235107
ft_step_5,full_finetune,5,all_seen,0.1473,6.930932998657227
lora_merged_final_eval,lora_merged,5,first_step,0.1355,4.56417179107666
lora_merged_final_eval,lora_merged,5,later_steps,0.095875,6.834637641906738
lora_merged_final_eval,lora_merged,5,all_seen,0.1038,6.380544662475586
ft_final_eval,full_finetune,5,first_step,0.0,9.561864852905273
ft_final_eval,full_finetune,5,later_steps,0.184125,6.273196697235107
ft_final_eval,full_finetune,5,all_seen,0.1473,6.930932998657227
joint_final_eval,joint_upper_bound,5,first_step,0.501,2.349308967590332
joint_final_eval,joint_upper_bound,5,later_steps,0.52825,2.2076728343963623
joint_final_eval,joint_upper_bound,5,all_seen,0.5228,2.2360000610351562
