method,orth_mode,lambda_orth,zero_old_merge,first_step,later_steps,all_seen,old_new_gap,avg_forgetting
rank_extension,none,0.0,False,0.0,0.24225,0.1938,-0.24225,0.92425
rank_extension_orth_trace_abs_lam_1,trace_abs,1.0,False,0.0,0.241,0.1928,-0.241,0.9263750000000001
rank_extension_orth_norm_lam_500,norm,500.0,False,0.0055,0.256,0.2059,-0.2505,0.915375
rank_extension_orth_factor_lam_0p1,factor_orth,0.1,False,0.0145,0.254125,0.2062,-0.23962499999999998,0.911625
rank_extension_orth_factor_lam_1,factor_orth,1.0,False,0.0265,0.28575,0.2339,-0.25925,0.8827500000000001
