method_name,display_name,family,base_method,step_id,epoch,uses_kd,kd_temperature,kd_weight,uses_delta_trace,uses_factor_orth,lambda_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules,train_ce_loss,train_total_loss,train_kd_loss_raw,train_kd_loss_weighted,train_delta_trace_loss_raw,train_delta_trace_loss_weighted,train_factor_orth_loss_raw,train_factor_orth_loss_weighted,train_delta_trace_weighted_over_ce,train_factor_orth_weighted_over_ce,train_kd_weighted_over_ce,val_ce_loss,val_total_loss,learning_rate
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension,rank_extension_kd_only,3,1,True,1.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",2.4200033504521983,3.101622730347217,0.6816193774251462,0.6816193774251462,,,,,,,0.5180091186124214,1.1383981924057007,,8.430152761045664e-05
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension,rank_extension_kd_only,3,2,True,1.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.012192509408857,1.80871803623731,0.7965255276101535,0.7965255276101535,,,,,,,0.8169320262015709,1.0354296855926515,,3.018935110253619e-05
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension,rank_extension_kd_only,3,3,True,1.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.9518309430122376,1.7301769580841064,0.7783460141181946,0.7783460141181946,,,,,,,0.8481849561678102,1.0343544902801514,,0.0
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension,rank_extension_kd_only,4,1,True,1.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",2.4750091455962187,3.145505175848054,0.6704960311400977,0.6704960311400977,,,,,,,0.46934606931104517,1.1815769033432006,,8.430152761045664e-05
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension,rank_extension_kd_only,4,2,True,1.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.063527640651484,1.8729673027992249,0.8094396604866277,0.8094396604866277,,,,,,,0.7927322760421592,1.0879343256950378,,3.018935110253619e-05
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension,rank_extension_kd_only,4,3,True,1.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.9756156509399414,1.7731441871643066,0.7975285387992859,0.7975285387992859,,,,,,,0.8457724160399254,1.0627543940544129,,0.0
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension,rank_extension_kd_only,5,1,True,1.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",2.278468907172083,2.9377262106503674,0.6592573022653552,0.6592573022653552,,,,,,,0.55586315415118,1.0839414072036744,,8.430152761045664e-05
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension,rank_extension_kd_only,5,2,True,1.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.9003919249675313,1.6805477679752914,0.7801558435940351,0.7801558435940351,,,,,,,0.8944748053194955,0.9509165043830872,,3.018935110253619e-05
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension,rank_extension_kd_only,5,3,True,1.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.8541059905052185,1.6188969268798827,0.7647909372329712,0.7647909372329712,,,,,,,0.9184957515471353,0.9509873056411743,,0.0
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,1,1,True,2.0,0.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.3417462185543463,1.3417462185543463,0.0,0.0,,,,,,,0.0,0.2540390701442957,,8.430152761045664e-05
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,1,2,True,2.0,0.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.1528027853027719,0.1528027853027719,0.0,0.0,,,,,,,0.0,0.1753596134185791,,3.018935110253619e-05
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,1,3,True,2.0,0.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.09517956813573837,0.09517956813573837,0.0,0.0,,,,,,,0.0,0.15518861386179925,,0.0
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,2,1,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",2.5859354415423743,3.745086110945419,1.1591506613911557,1.1591506613911557,,,,,,,0.9185471917261864,1.0789700922966003,,8.430152761045664e-05
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,2,2,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.9010623895731129,2.1715952120843482,1.2705328232929354,1.2705328232929354,,,,,,,1.501185896739408,1.0054028310775758,,3.018935110253619e-05
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,2,3,True,2.0,1.0,False,False,0.0,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.8331560151100159,2.080345322418213,1.247189305782318,1.247189305782318,,,,,,,1.5802308978530397,1.0143662099838258,,0.0
