method,first_step,later_steps,all_seen,forgetting_gap_first_to_joint,gap_to_simple_avg_normal_all_seen
Simple AVG - Normal,0.62,0.612625,0.6141,0.30200000000000005,0.0
Simple AVG - Orth,0.617,0.612625,0.6135,0.30500000000000005,-0.0005999999999999339
DO-Merge - Normal,0.6285,0.67375,0.6647,0.2935000000000001,0.05059999999999998
Simple AVG - Replay,0.632,0.630125,0.6305,0.29000000000000004,0.01639999999999997
RankExt-IPC-lite + Stitched,0.4205,0.05975,0.1319,0.5015000000000001,-0.48219999999999996
Full FT,0.1745,0.37775,0.3371,0.7475,-0.27699999999999997
Joint,0.922,0.914,0.9156,0.0,0.3015
