step,current_classes_min,current_classes_max,seen_classes_count,old_seen_classes_count,unseen_classes_count,classifier_delta_current_mean,classifier_delta_old_seen_mean,classifier_delta_unseen_mean,classifier_delta_current_max,classifier_delta_old_seen_max,classifier_delta_unseen_max,classifier_norm_current_mean,classifier_norm_old_seen_mean,classifier_norm_unseen_mean
1,0,19,20,0,80,0.07863254845142365,,0.11488337814807892,0.09171078354120255,,0.1332385540008545,0.5940247774124146,,0.5674168467521667
2,20,39,40,20,60,0.09336977452039719,0.046728745102882385,0.15240222215652466,0.10634814947843552,0.08350970596075058,0.17124147713184357,0.6141328811645508,0.603269636631012,0.5840662121772766
3,40,59,60,40,40,0.08988642692565918,0.053471483290195465,0.15784470736980438,0.10641598701477051,0.0902114287018776,0.1859854757785797,0.6288875341415405,0.6199948191642761,0.5933437347412109
4,60,79,80,60,20,0.09754295647144318,0.06031199172139168,0.16745159029960632,0.11559347063302994,0.10212592780590057,0.18078407645225525,0.6384204626083374,0.6342252492904663,0.590589165687561
5,80,99,100,80,0,0.10102243721485138,0.06251794099807739,,0.11012464016675949,0.11173407733440399,,0.638746440410614,0.6454234719276428,
