loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.677314453125,7.28378963470459,7.84e-06,0.08,50,,,,,,,,,,
4.507666015625,8.367903709411621,1.584e-05,0.16,100,,,,,,,,,,
4.19722412109375,8.137648582458496,2.3840000000000002e-05,0.24,150,,,,,,,,,,
3.526798095703125,6.656414985656738,3.184e-05,0.32,200,,,,,,,,,,
2.855770263671875,6.554399490356445,3.984e-05,0.4,250,,,,,,,,,,
2.4138177490234374,6.667705059051514,4.784e-05,0.48,300,,,,,,,,,,
2.2807244873046875,8.55372142791748,5.584e-05,0.56,350,,,,,,,,,,
2.0967494201660157,6.970448970794678,6.384e-05,0.64,400,,,,,,,,,,
1.9672900390625,6.620275974273682,7.184e-05,0.72,450,,,,,,,,,,
1.8796517944335938,5.715662002563477,7.984000000000001e-05,0.8,500,,,,,,,,,,
1.8494854736328126,7.257025241851807,8.784e-05,0.88,550,,,,,,,,,,
1.7641558837890625,8.358673095703125,9.584e-05,0.96,600,,,,,,,,,,
,,,1.0,625,1.7306528091430664,0.4445,2.1654,923.633,29.094,,,,,
1.7424459838867188,6.917738914489746,9.999550830062763e-05,1.04,650,,,,,,,,,,
1.6642494201660156,7.018503189086914,9.995730310237114e-05,1.12,700,,,,,,,,,,
1.646907501220703,7.427835464477539,9.988014270190651e-05,1.2,750,,,,,,,,,,
1.6406437683105468,6.956419467926025,9.976408726659296e-05,1.28,800,,,,,,,,,,
1.632339630126953,7.003654479980469,9.960922729296796e-05,1.3599999999999999,850,,,,,,,,,,
1.5407997131347657,7.415379047393799,9.941568353618063e-05,1.44,900,,,,,,,,,,
1.5535110473632812,9.036747932434082,9.918360691583056e-05,1.52,950,,,,,,,,,,
1.5269281005859374,6.911581039428711,9.891317839828527e-05,1.6,1000,,,,,,,,,,
1.5512948608398438,4.816381454467773,9.860460885556806e-05,1.6800000000000002,1050,,,,,,,,,,
1.5823406982421875,7.6578803062438965,9.825813890092637e-05,1.76,1100,,,,,,,,,,
1.5045404052734375,7.489445209503174,9.787403870120877e-05,1.8399999999999999,1150,,,,,,,,,,
1.4092469787597657,6.045560359954834,9.745260776619698e-05,1.92,1200,,,,,,,,,,
1.513434600830078,7.852456569671631,9.699417471505717e-05,2.0,1250,,,,,,,,,,
,,,2.0,1250,1.5213888883590698,0.513,2.1563,927.536,29.217,,,,,
1.4747116088867187,7.608094215393066,9.649909702009266e-05,2.08,1300,,,,,,,,,,
1.4949600219726562,6.9405083656311035,9.596776072799766e-05,2.16,1350,,,,,,,,,,
1.4220523071289062,7.176995754241943,9.540058015882979e-05,2.24,1400,,,,,,,,,,
1.377174072265625,6.9382758140563965,9.47979975829357e-05,2.32,1450,,,,,,,,,,
1.423528594970703,5.93825101852417,9.416048287608194e-05,2.4,1500,,,,,,,,,,
1.4104046630859375,8.180622100830078,9.348853315306005e-05,2.48,1550,,,,,,,,,,
1.3734945678710937,7.582250118255615,9.278267238005129e-05,2.56,1600,,,,,,,,,,
1.4128280639648438,7.090483665466309,9.204345096605368e-05,2.64,1650,,,,,,,,,,
1.356968231201172,7.231821060180664,9.127144533368955e-05,2.7199999999999998,1700,,,,,,,,,,
1.3688755798339844,6.234396934509277,9.046725746972853e-05,2.8,1750,,,,,,,,,,
1.4370977783203125,5.1855268478393555,8.963151445567642e-05,2.88,1800,,,,,,,,,,
1.3600509643554688,7.062413692474365,8.876486797879579e-05,2.96,1850,,,,,,,,,,
,,,3.0,1875,1.4321398735046387,0.531,2.1942,911.507,28.712,,,,,
1.3041517639160156,6.954528331756592,8.786799382394e-05,3.04,1900,,,,,,,,,,
1.3098330688476563,7.485246181488037,8.694159134659641e-05,3.12,1950,,,,,,,,,,
1.2777072143554689,7.920094966888428,8.598638292754999e-05,3.2,2000,,,,,,,,,,
1.2677520751953124,8.09805965423584,8.500311340959256e-05,3.2800000000000002,2050,,,,,,,,,,
1.3831103515625,7.484076976776123,8.39925495167168e-05,3.36,2100,,,,,,,,,,
