method,first_step,later_steps,all_seen,rank_all_seen
simple_avg,66.8,49.575,53.02,1
rank_extension_orth_factor_lam_50,10.35,40.362500000000004,34.36,2
rank_extension_orth_factor_lam_10,10.5,36.7,31.46,3
rank_extension_orth_factor_lam_1,2.65,28.575,23.39,4
rank_extension_orth_factor_lam_0p5,1.05,26.8375,21.68,5
rank_extension,0.0,24.224999999999998,19.38,6
