method,lambda_orth,ce_loss_mean,factor_A_penalty_mean,factor_B_penalty_mean,factor_total_penalty_mean,weighted_factor_orth_mean,weighted_factor_orth_over_CE,mean_A_overlap,mean_B_overlap
rank_extension_orth_factor_lam_0p5,0.5,0.7522008103863644,0.16338843215410126,0.008622669182814895,0.17201110145664275,0.08600555072832138,0.05507719049069992,0.004821584944694938,0.0031418169924151283
rank_extension_orth_factor_lam_1,1.0,0.7592471931257548,0.13532384246122892,0.006512595632299168,0.14183643838969173,0.14183643838969173,0.05275547386442209,0.0033939273186710185,0.002272433594834028
rank_extension_orth_factor_lam_10,10.0,0.9067715986056903,0.13824323948657585,0.004946551306601204,0.14318979060238238,1.4318979098640685,0.22749743421753876,0.0026423829704124145,0.0011219637306915228
rank_extension_orth_factor_lam_50,50.0,1.1421474166568255,0.14826562410674415,0.00642431474293098,0.15468993824424457,7.734496882817391,0.9506305858880911,0.002880664715077042,0.0009330708479692958
