method,orth_mode,lambda_orth,zero_old_merge,first_step,later_steps,all_seen,old_new_gap,avg_forgetting
rank_extension,none,0.0,False,0.0005,0.25575,0.2047,-0.25525,0.923625
rank_extension_zero_old_merge,none,0.0,True,0.256,0.16725,0.185,0.08875,0.938625
rank_extension_orth_trace_abs_lam_1,trace_abs,1.0,False,0.0095,0.2575,0.2079,-0.248,0.92325
rank_extension_orth_trace_abs_lam_5,trace_abs,5.0,False,0.008,0.265375,0.2139,-0.257375,0.9123750000000002
rank_extension_orth_trace_abs_lam_10,trace_abs,10.0,False,0.0085,0.265125,0.2138,-0.256625,0.9141250000000001
rank_extension_zero_old_merge_orth_trace_abs_lam_1,trace_abs,1.0,True,0.207,0.180375,0.1857,0.026624999999999982,0.939625
rank_extension_zero_old_merge_orth_trace_abs_lam_5,trace_abs,5.0,True,0.221,0.1745,0.1838,0.046500000000000014,0.939125
rank_extension_zero_old_merge_orth_trace_abs_lam_10,trace_abs,10.0,True,0.229,0.173125,0.1843,0.05587500000000001,0.93775
rank_extension_orth_norm_lam_500,norm,500.0,False,0.037,0.288625,0.2383,-0.25162500000000004,0.88325
rank_extension_zero_old_merge_orth_norm_lam_500,norm,500.0,True,0.217,0.19475,0.1992,0.022249999999999992,0.9402499999999999
