method,first_step,later_steps,all_seen,old_new_gap
full_finetune,0.0,26.55,21.240000000000002,-26.55
simple_avg,67.0,53.55,56.24,13.450000000000003
rank_extension,0.05,25.575,20.47,-25.525
rank_extension_zero_old_merge,25.6,16.725,18.5,8.875
rank_extension_orth_trace_abs_lam_1,0.95,25.75,20.79,-24.8
rank_extension_orth_trace_abs_lam_5,0.8,26.5375,21.39,-25.7375
rank_extension_orth_trace_abs_lam_10,0.8500000000000001,26.5125,21.38,-25.662499999999998
rank_extension_zero_old_merge_orth_trace_abs_lam_1,20.7,18.0375,18.57,2.662499999999998
rank_extension_zero_old_merge_orth_trace_abs_lam_5,22.1,17.45,18.38,4.650000000000002
rank_extension_zero_old_merge_orth_trace_abs_lam_10,22.900000000000002,17.3125,18.43,5.587500000000002
rank_extension_orth_norm_lam_500,3.6999999999999997,28.8625,23.830000000000002,-25.1625
rank_extension_zero_old_merge_orth_norm_lam_500,21.7,19.475,19.919999999999998,2.224999999999998
