method,display_method_name,cl_step,local_epoch,global_epoch,train_ce_loss,val_ce_loss,train_total_loss,kd_loss_raw,kd_loss_weighted,factor_orth_loss_raw,factor_orth_loss_weighted,delta_trace_loss_raw,delta_trace_loss_weighted,learning_rate,lambda_orth,kd_temperature,lora_rank,lora_alpha,lora_dropout,target_modules,batch_size,num_epochs,optimizer,scheduler,seed,method_name,display_name,family,base_method,step_id,epoch,uses_kd,kd_weight,uses_delta_trace,uses_factor_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules_x,train_kd_loss_raw,train_kd_loss_weighted,train_delta_trace_loss_raw,train_delta_trace_loss_weighted,train_factor_orth_loss_raw,train_factor_orth_loss_weighted,train_delta_trace_weighted_over_ce,train_factor_orth_weighted_over_ce,train_kd_weighted_over_ce,val_total_loss,target_modules_y
rank_extension,RankExt,2,6,15,0.0272607024362097,0.21061689402163028,0.0272607024362097,,,,,,,3.018935110253619e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,2,6,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,2,7,16,0.01712473938394277,0.2339194252640009,0.01712473938394277,,,,,,,1.4300127155289572e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,2,7,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,2,8,17,0.014679528967230238,0.21887592102587222,0.014679528967230238,,,,,,,3.712887094594453e-06,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,2,8,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,2,9,18,0.01824226293377578,0.2242128884792328,0.01824226293377578,,,,,,,0.0,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,2,9,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,3,1,19,3.077149912251583,0.39196252393722536,3.077149912251583,,,,,,,9.996164380804483e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,3,1,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,3,2,20,0.27896146862233273,0.20066061973571778,0.27896146862233273,,,,,,,9.55111402123446e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,3,2,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,3,3,21,0.17272635076622495,0.165483380317688,0.17272635076622495,,,,,,,8.430152761045664e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,3,3,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,3,4,22,0.12327440338300877,0.16848612642288208,0.12327440338300877,,,,,,,6.799760704097911e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,3,4,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,3,5,23,0.09270252526478201,0.15470705151557923,0.09270252526478201,,,,,,,4.902076315486023e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,3,5,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,3,6,24,0.07086471973872575,0.2108138999938965,0.07086471973872575,,,,,,,3.018935110253619e-05,0.0,0.0,80,160.0,0.05,,16,9,AdamW,cosine,42,rank_extension,RankExt,rank_extension,rank_extension,3,6,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
