method,first_step,later_steps,all_seen,old_new_gap
simple_avg,82.0,69.6125,72.09,12.387500000000003
simple_avg_kd_T2,88.9,67.16250000000001,71.50999999999999,21.737499999999997
simple_avg_factor_orth,71.2,76.625,75.53999999999999,-5.424999999999997
simple_avg_factor_orth_kd_T2,77.75,68.2875,70.17999999999999,9.462500000000006
rank_extension,1.15,27.6125,22.32,-26.462500000000002
rank_extension_kd_only_T2,58.35,56.95,57.230000000000004,1.3999999999999986
rank_extension_orth_factor_lam_50,7.7,40.65,34.06,-32.949999999999996
rank_extension_orth_factor_lam_50_kd_T2,68.25,65.725,66.23,2.5250000000000057
