method_name,n_overfit_events,n_transitions,max_severity,mean_gap,gap_epoch1,final_gap,overfit_event_rate_pct,gap_growth_epoch1_to_final
simple_avg,10,25,0.028077826503664305,-0.15150491339100797,-1.4248150621813567,0.0792851231039501,40.0,1.5041001852853069
rank_extension,8,25,0.013719913505017695,-0.31330340937359574,-1.4878757964210698,0.0971266480972991,32.0,1.585002444518369
rank_extension_kd_only_T2,8,25,0.034019653320312426,-0.22899375487457382,-1.4878757964210698,0.13758226723670963,32.0,1.6254580636577796
simple_avg_kd_T2,7,25,0.01765258789062507,-0.14118664923074695,-1.3870618786965963,0.08977115883827208,28.0,1.4768330375348684
rank_extension_orth_factor_lam_50,4,25,0.013719913505017695,-0.7189234904495817,-1.4878757964210698,0.048431014187634,16.0,1.5363068106087039
rank_extension_orth_factor_lam_50_kd_T2,3,25,0.013719913505017695,-0.48076398194630365,-1.4878757964210698,0.06272270660400392,12.0,1.5505985030250737
simple_avg_factor_orth,2,25,0.0019360217750072073,-0.293405887515242,-1.3870618786965963,0.05011669127345089,8.0,1.4371785699700472
simple_avg_factor_orth_kd_T2,2,25,0.01732971286773677,-0.20920424163470766,-1.3870618786965963,0.11718362526893616,8.0,1.5042455039655325
