method,lambda_orth,kd_weight,kd_temperature,ce_loss_mean,orth_loss,factor_A_penalty_mean,factor_B_penalty_mean,factor_total_penalty_mean,weighted_factor_orth_mean,weighted_factor_orth_over_CE,mean_A_overlap,mean_B_overlap,kd_loss_mean,weighted_kd_loss,kd_over_CE,total_loss_mean
rank_extension_orth_factor_lam_50,50.0,0.0,2.0,1.241636956900316,0.41700649041977156,0.3960603773246644,0.020946115138157737,0.41700649041977156,20.850324510185622,2.55846254305065,0.002745378346442985,0.0008109540429812436,0.0,0.0,0.0,22.09196147245467
rank_extension_orth_factor_lam_50_kd,50.0,0.0,2.0,0.4876749057219406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4876749057219406
rank_extension_orth_factor_lam_50_kd,50.0,1.0,2.0,1.7344487090036798,0.09749115259690001,0.07503181128268659,0.022459340948321523,0.09749115259690001,4.87455762125747,0.7063048445787206,0.0029451107355456274,0.0009767895727398096,0.8484354073816067,0.8484354073816067,0.9892064610307457,7.457441731299601
simple_avg_factor_orth,50.0,0.0,2.0,1.1026924040461012,7.591091548160773,7.212383138160949,0.3787084160288946,7.591091548160773,379.5545772922112,113.35387848263944,0.0060314172886873066,0.0008749703619083212,0.0,0.0,0.0,380.65726993689424
simple_avg_factor_orth_kd,50.0,0.0,2.0,0.4426919343357194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4426919343357194
simple_avg_factor_orth_kd,50.0,1.0,2.0,1.644361332542301,9.447772190788314,8.978197967814669,0.4695741919419914,9.447772190788314,472.3886091546075,130.2677228950768,0.007492497069912981,0.001088476986886536,0.9860415657641577,0.9860415657641577,0.8325785086983797,475.01901170430637
