method,orth_mode,lambda_orth,kd_weight,kd_temperature,ce_loss_mean,orth_loss_mean,weighted_orth_over_CE,kd_loss_mean,kd_over_CE,total_loss_mean,factor_A_penalty_mean,factor_B_penalty_mean,factor_total_penalty_mean,weighted_factor_orth_over_CE,mean_A_overlap,mean_B_overlap
rank_extension_kd_only,none,0.0,0.0,2.0,0.4876749057219406,0.0,0.0,0.0,0.0,0.4876749057219406,0.0,0.0,0.0,0.0,0.0,0.0
rank_extension_kd_only,none,0.0,1.0,2.0,1.1845677144436642,0.0,0.0,0.9615177253185979,1.2601679788817854,2.1460854394171345,0.0,0.0,0.0,0.0,0.0,0.0
rank_extension_orth_delta_trace_lam_50,delta_trace,50.0,0.0,2.0,0.6809415058541534,0.00013416214776343032,0.036305748949332015,0.0,0.0,0.6876496133876182,3.3180470916857225,1.9630563122625355,5.281103425469822,1685.5190092631367,0.02704592667989429,0.035604108623778476
rank_extension_orth_delta_trace_lam_50_kd,delta_trace,50.0,0.0,2.0,0.4876749057219406,0.0,0.0,0.0,0.0,0.4876749057219406,0.0,0.0,0.0,0.0,0.0,0.0
rank_extension_orth_delta_trace_lam_50_kd,delta_trace,50.0,1.0,2.0,1.2083677931688288,0.00010297496390610545,0.006050277061700399,0.9646457767962228,1.2365816167105912,2.1781623165513295,0.9735724041698177,2.323503360488519,3.2970757707357965,206.41897317132094,0.030163002801821735,0.04496438171518384
rank_extension_orth_factor_lam_50,factor_orth,50.0,0.0,2.0,1.241636956900316,0.41700649041977156,2.55846254305065,0.0,0.0,22.09196147245467,0.3960603773246644,0.020946115138157737,0.41700649041977156,2.55846254305065,0.002745378346442985,0.0008109540429812436
rank_extension_orth_factor_lam_50_kd,factor_orth,50.0,0.0,2.0,0.4876749057219406,0.0,0.0,0.0,0.0,0.4876749057219406,0.0,0.0,0.0,0.0,0.0,0.0
rank_extension_orth_factor_lam_50_kd,factor_orth,50.0,1.0,2.0,1.7344487090036798,0.09749115259690001,0.7063048445787206,0.8484354073816067,0.9892064610307457,7.457441731299601,0.07503181128268659,0.022459340948321523,0.09749115259690001,0.7063048445787206,0.0029451107355456274,0.0009767895727398096
simple_avg_factor_orth,factor_orth,50.0,0.0,2.0,1.1026924040461012,7.591091548160773,113.35387848263944,0.0,0.0,380.65726993689424,7.212383138160949,0.3787084160288946,7.591091548160773,113.35387848263944,0.0060314172886873066,0.0008749703619083212
simple_avg_factor_orth_kd,factor_orth,50.0,0.0,2.0,0.4426919343357194,0.0,0.0,0.0,0.0,0.4426919343357194,0.0,0.0,0.0,0.0,0.0,0.0
simple_avg_factor_orth_kd,factor_orth,50.0,1.0,2.0,1.644361332542301,9.447772190788314,130.2677228950768,0.9860415657641577,0.8325785086983797,475.01901170430637,8.978197967814669,0.4695741919419914,9.447772190788314,130.2677228950768,0.007492497069912981,0.001088476986886536
simple_avg_kd,none,0.0,0.0,2.0,0.4426919343357194,0.0,0.0,0.0,0.0,0.4426919343357194,0.0,0.0,0.0,0.0,0.0,0.0
simple_avg_kd,none,0.0,1.0,2.0,0.856963108781923,0.0,0.0,0.8294700126925095,1.326409155382082,1.6864331216530783,0.0,0.0,0.0,0.0,0.0,0.0
