method_name,display_name,step_id,epoch,train_ce,val_ce,train_val_gap,epoch_over_epoch_train_delta,epoch_over_epoch_val_delta,overfitting_signature,overfit_severity
simple_avg,SimpleAvg,1,1,1.3064196990366943,0.2548048171699047,-1.0516148818667896,,,False,0.0
simple_avg,SimpleAvg,1,2,0.1442773978729717,0.1762490673065185,0.03197166943354679,-1.1621423011637226,-0.07855574986338623,False,0.0
simple_avg,SimpleAvg,1,3,0.0761506875678896,0.1741244831085205,0.09797379554063089,-0.06812671030508209,-0.002124584197997992,False,0.0
simple_avg,SimpleAvg,2,1,1.2184156950886336,0.2551977844536304,-0.9632179106350032,,,False,0.0
simple_avg,SimpleAvg,2,2,0.1248620539216599,0.2025973815843463,0.07773532766268638,-1.0935536411669737,-0.05260040286928411,False,0.0
simple_avg,SimpleAvg,2,3,0.0587783756412565,0.1910544261932373,0.13227605055198077,-0.0660836782804034,-0.011542955391109,False,0.0
simple_avg,SimpleAvg,3,1,1.354087348167713,0.3066380777359009,-1.047449270431812,,,False,0.0
simple_avg,SimpleAvg,3,2,0.2094797578991436,0.1648518757820129,-0.0446278821171307,-1.1446075902685693,-0.141786201953888,False,0.0
simple_avg,SimpleAvg,3,3,0.1207792951256036,0.166282947063446,0.04550365193784241,-0.08870046277354,0.001431071281433105,True,0.001431071281433105
simple_avg,SimpleAvg,4,1,1.450347923254518,0.427956710755825,-1.0223912124986931,,,False,0.0
simple_avg,SimpleAvg,4,2,0.2308756884981374,0.2803478965759277,0.04947220807779029,-1.2194722347563807,-0.1476088141798973,False,0.0
simple_avg,SimpleAvg,4,3,0.1271322129845619,0.226921573638916,0.09978936065435409,-0.10374347551357549,-0.05342632293701169,False,0.0
simple_avg,SimpleAvg,5,1,1.29325265214213,0.1454512484073639,-1.147801403734766,,,False,0.0
simple_avg,SimpleAvg,5,2,0.1027384665294657,0.1068465194627642,0.004108052933298509,-1.1905141856126642,-0.038604728944599695,False,0.0
simple_avg,SimpleAvg,5,3,0.0488792467847466,0.0915709209367632,0.04269167415201659,-0.05385921974471909,-0.015275598526001008,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,1,1,1.2376253547149965,0.2280023956596851,-1.0096229590553114,,,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,1,2,0.1369443636082234,0.1436051178574562,0.006660754249232792,-1.100680991106773,-0.08439727780222891,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,1,3,0.0722152295574545,0.1347330188900232,0.0625177893325687,-0.0647291340507689,-0.00887209896743299,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,2,1,1.7495561865464755,0.8429284677505493,-0.9066277187959262,,,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,2,2,0.6926161798297382,0.7499868166446686,0.057370636814930376,-1.0569400067167374,-0.09294165110588071,False,0.0
