method_name,display_name,step_id,epoch,train_ce_loss,val_ce_loss,final_epoch_rel_train_improvement_pct,final_epoch_rel_val_improvement_pct,train_convergence_verdict,val_convergence_verdict
simple_avg_factor_orth,SimpleAvg+FactorOrth,5,2,0.5850982804767421,0.3989497365951538,,,,
simple_avg_factor_orth,SimpleAvg+FactorOrth,5,3,0.2506693587779999,0.2799474940299988,57.158,29.829,still_improving,still_improving
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,1,1,1.2376253547149965,0.2280023956596851,,,,
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,1,2,0.1369443636082234,0.1436051178574562,,,,
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,1,3,0.0722152295574545,0.1347330188900232,47.267,6.178,still_improving,still_improving
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,2,1,3.333746532761719,1.9029726581573487,,,,
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,2,2,1.1214517737021212,0.9585339350700378,,,,
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,2,3,0.7955760518074035,0.89317431640625,29.058,6.819,still_improving,still_improving
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,3,1,3.252081561205625,1.9041391639709475,,,,
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,3,2,1.1610028655802618,1.0013598651885989,,,,
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,3,3,0.8014555053710938,0.870031982421875,30.969,13.115,still_improving,still_improving
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,4,1,3.42108890097192,2.155493650436401,,,,
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,4,2,1.3203793288254346,1.165533446788788,,,,
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,4,3,0.8844206253051757,1.0068740229606628,33.018,13.613,still_improving,still_improving
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,5,1,3.250286885057065,1.7376972618103028,,,,
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,5,2,0.9743853250976467,0.818575439453125,,,,
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,5,3,0.6357677535057068,0.7141964116096496,34.752,12.751,still_improving,still_improving
rank_extension,RankExt,1,1,1.3417462185543465,0.2540390701442957,,,,
rank_extension,RankExt,1,2,0.1528027853027719,0.1753596134185791,,,,
rank_extension,RankExt,1,3,0.0951795681357383,0.1551886138617992,37.711,11.503,still_improving,still_improving
rank_extension,RankExt,2,1,2.0049971306480088,0.3175144498348236,,,,
rank_extension,RankExt,2,2,0.1627619987659034,0.2162800140529871,,,,
rank_extension,RankExt,2,3,0.090751928576827,0.1974912109300494,44.243,8.687,still_improving,still_improving
rank_extension,RankExt,3,1,1.9681116088907769,0.321543182849884,,,,
rank_extension,RankExt,3,2,0.2358561729065707,0.1937674283981323,,,,
rank_extension,RankExt,3,3,0.153004037284851,0.1733098840713501,35.128,10.558,still_improving,still_improving
rank_extension,RankExt,4,1,2.192163253815787,0.5298495488166809,,,,
rank_extension,RankExt,4,2,0.3406305424258357,0.3460543061494827,,,,
rank_extension,RankExt,4,3,0.2121327994823456,0.3082778013944626,37.723,10.916,still_improving,still_improving
rank_extension,RankExt,5,1,1.9204843443880888,0.2490149078965187,,,,
rank_extension,RankExt,5,2,0.1343701188231162,0.1870108718946576,,,,
