method,first_step,later_steps,all_seen,old_new_gap,method_family,variant_group,first_step_drop_vs_simple_avg,all_seen_delta_vs_simple_avg
rank_extension,2.0500000000000003,25.525,20.830000000000002,-23.474999999999998,baseline,rank_extension,,
rank_extension_orth_abs_trace_lam_0p01,0.0,24.212500000000002,19.37,-24.212500000000002,other,rank_extension,,
rank_extension_orth_abs_trace_lam_0p1,0.05,24.087500000000002,19.28,-24.0375,other,rank_extension,,
rank_extension_orth_abs_trace_lam_1p0,0.0,24.099999999999998,19.28,-24.099999999999998,other,rank_extension,,
